category,year,quarter,context_label,n_mentions,sum_amount_usd
Hurricane_Rita2,2012,3,unknown,81,8581229979.05
Hurricane_Rita2,2012,3,expended,70,99242055.39
Hurricane_Rita2,2012,3,budget,61,567686431.46
Hurricane_Rita2,2012,3,obligated,54,430176593.0
Hurricane_Ike,2012,4,drawdown,7630,4139878267.64
Hurricane_Ike,2012,4,expended,3718,1612226960.2
Hurricane_Ike,2012,4,obligated,3712,4071682608.42
Hurricane_Ike,2012,4,unknown,3204,3052057543.73
Hurricane_Ike,2012,4,budget,2714,5997132668.28
Hurricane_Rita1,2012,4,drawdown,51,242227957.41
Hurricane_Rita1,2012,4,unknown,36,290630515.82
Hurricane_Rita1,2012,4,obligated,34,74523000.0
Hurricane_Rita1,2012,4,expended,31,32266823.650000002
Hurricane_Rita1,2012,4,budget,22,181624823.59
Hurricane_Rita2,2012,4,unknown,57,2755939339.63
Hurricane_Rita2,2012,4,drawdown,49,523093326.86
Hurricane_Rita2,2012,4,budget,26,717973590.0
Hurricane_Rita2,2012,4,expended,22,14902362.02
Hurricane_Rita2,2012,4,obligated,21,428684395.48
Hurricane_Ike,2013,1,drawdown,6587,4201775053.47
Hurricane_Ike,2013,1,expended,4257,1737170976.64
Hurricane_Ike,2013,1,obligated,3026,3146007106.17
Hurricane_Ike,2013,1,budget,2416,6064147309.99
Hurricane_Ike,2013,1,unknown,1999,8081316633517.16
Hurricane_Rita1,2013,1,unknown,16,138214232.83
Hurricane_Rita1,2013,1,drawdown,5,146854990.45999998
Hurricane_Rita1,2013,1,expended,3,0.0
Hurricane_Rita1,2013,1,budget,3,147894978.95999998
Hurricane_Rita1,2013,1,obligated,2,74523000.0
Hurricane_Rita2,2013,1,unknown,83,14429033502.76
Hurricane_Rita2,2013,1,drawdown,51,911688977.5500001
Hurricane_Rita2,2013,1,budget,51,941853507.0
Hurricane_Rita2,2013,1,expended,29,232143939.17000002
Hurricane_Rita2,2013,1,obligated,27,428672803.0
Hurricane_Ike,2013,2,drawdown,7696,8112906411.7699995
Hurricane_Ike,2013,2,expended,4870,1770305735.91
Hurricane_Ike,2013,2,obligated,3588,4176809715.15
Hurricane_Ike,2013,2,budget,3020,6416101331.94
Hurricane_Ike,2013,2,unknown,2638,76415643128933.34
Hurricane_Rita1,2013,2,drawdown,37,76882034.85000001
Hurricane_Rita1,2013,2,unknown,34,162679948.5
Hurricane_Rita1,2013,2,obligated,25,74523000.0
Hurricane_Rita1,2013,2,expended,25,29720813.330000002
Hurricane_Rita1,2013,2,budget,24,180237507.12
Hurricane_Rita2,2013,2,unknown,91,8265010967.2
Hurricane_Rita2,2013,2,drawdown,52,1043811979.72
Hurricane_Rita2,2013,2,budget,46,1075949555.71
Hurricane_Rita2,2013,2,obligated,31,428671849.0
Hurricane_Rita2,2013,2,expended,31,216005502.61
Hurricane_Ike,2013,3,drawdown,7808,16514827920.09
Hurricane_Ike,2013,3,expended,3798,1666064416.44
Hurricane_Ike,2013,3,obligated,3689,1151037749.6200001
Hurricane_Ike,2013,3,unknown,3245,78523744425851.31
Hurricane_Ike,2013,3,budget,2810,6450317040.69
Hurricane_Rita1,2013,3,drawdown,27,223578388.23
Hurricane_Rita1,2013,3,unknown,24,139247811.5
Hurricane_Rita1,2013,3,expended,14,1151021.03
Hurricane_Rita1,2013,3,obligated,7,0.0
Hurricane_Rita1,2013,3,budget,7,149055388.23
Hurricane_Rita2,2013,3,unknown,34,2318886863.17
Hurricane_Rita2,2013,3,drawdown,32,874442877.84
Hurricane_Rita2,2013,3,expended,15,5556707.18
Hurricane_Rita2,2013,3,obligated,9,0.0
Hurricane_Rita2,2013,3,budget,8,434240663.42
Wildfire_I,2013,3,drawdown,35,90876138.91
Wildfire_I,2013,3,unknown,20,6263989231100.92
Wildfire_I,2013,3,expended,19,2241652.02
Wildfire_I,2013,3,obligated,15,12095.54
Wildfire_I,2013,3,budget,9,64281958.0
Hurricane_Ike,2013,4,drawdown,7885,8834094480.97
Hurricane_Ike,2013,4,obligated,3909,1238435341.3
Hurricane_Ike,2013,4,expended,3801,1512363132.21
Hurricane_Ike,2013,4,unknown,3136,35089484241161.062
Hurricane_Ike,2013,4,budget,2756,6699499755.51
Hurricane_Rita1,2013,4,unknown,19,177341876.04
Hurricane_Rita1,2013,4,drawdown,7,222417978.95999998
Hurricane_Rita1,2013,4,expended,3,0.0
Hurricane_Rita1,2013,4,budget,3,147894978.95999998
Hurricane_Rita2,2013,4,drawdown,38,870818179.07
Hurricane_Rita2,2013,4,unknown,34,2265451861.14
Hurricane_Rita2,2013,4,expended,17,3856076.0
Hurricane_Rita2,2013,4,obligated,15,0.0
Hurricane_Rita2,2013,4,budget,14,443756231.17
Hurricane_Ike,2014,1,drawdown,8631,15385523636.279999
Hurricane_Ike,2014,1,expended,4086,1840252067.43
Hurricane_Ike,2014,1,obligated,3902,1314856555.53
Hurricane_Ike,2014,1,budget,2933,6422327526.94
Hurricane_Ike,2014,1,unknown,2854,5938258336.440001
Hurricane_Rita1,2014,1,drawdown,84,182044120.11
Hurricane_Rita1,2014,1,expended,52,36176897.760000005
Hurricane_Rita1,2014,1,obligated,45,0.0
Hurricane_Rita1,2014,1,unknown,44,178557578.04
Hurricane_Rita1,2014,1,budget,30,157992883.48
Hurricane_Rita2,2014,1,drawdown,131,1568598541.9
Hurricane_Rita2,2014,1,unknown,127,19742225223.02
Hurricane_Rita2,2014,1,budget,80,1395056116.0
Hurricane_Rita2,2014,1,expended,75,249956688.45000002
Hurricane_Rita2,2014,1,obligated,64,153087.78
Wildfire_I,2014,1,drawdown,51,103861940.48
Wildfire_I,2014,1,unknown,30,6263976777200.87
Wildfire_I,2014,1,expended,26,6579195.99
Wildfire_I,2014,1,obligated,20,17966.39
Wildfire_I,2014,1,budget,14,70035558.0
Hurricane_Ike,2014,2,drawdown,9641,6188862529.9
Hurricane_Ike,2014,2,expended,2812,889793113455827.0
Hurricane_Ike,2014,2,unknown,1478,2706968933515.74
Hurricane_Ike,2014,2,budget,673,11144779242.65
Hurricane_Rita1,2014,2,unknown,18,177342156.59
Hurricane_Rita1,2014,2,drawdown,14,74533561.12
Hurricane_Rita1,2014,2,expended,6,420.84000000000003
Hurricane_Rita1,2014,2,budget,5,74543000.0
Hurricane_Rita1,2014,2,obligated,2,0.0
Hurricane_Rita2,2014,2,drawdown,38,1286568014.2
Hurricane_Rita2,2014,2,unknown,36,2333453348.98
Hurricane_Rita2,2014,2,expended,12,1319704.59
Hurricane_Rita2,2014,2,obligated,9,400.0
Hurricane_Rita2,2014,2,budget,9,432437804.35
Wildfire_I,2014,2,drawdown,43,88402120.95
Wildfire_I,2014,2,unknown,31,6263972915475.4
Wildfire_I,2014,2,expended,26,12102093.41
Wildfire_I,2014,2,obligated,21,1493327.5899999999
Wildfire_I,2014,2,budget,15,58488710.0
Hurricane_Ike,2014,3,drawdown,5856,12251960186.41
Hurricane_Ike,2014,3,obligated,3504,1552668152.06
Hurricane_Ike,2014,3,expended,3389,1353993188.58
Hurricane_Ike,2014,3,budget,2237,4997836845.04
Hurricane_Ike,2014,3,unknown,748,241186329.66
Hurricane_Rita1,2014,3,unknown,19,181069051.97
Hurricane_Rita1,2014,3,drawdown,14,74534771.32
Hurricane_Rita1,2014,3,expended,7,1258.35
Hurricane_Rita1,2014,3,budget,5,147915491.93
Hurricane_Rita1,2014,3,obligated,2,0.0
Hurricane_Rita2,2014,3,unknown,45,2291103760.67
Hurricane_Rita2,2014,3,drawdown,41,930650225.17
Hurricane_Rita2,2014,3,budget,19,472662468.44
Hurricane_Rita2,2014,3,expended,14,20132388.150000002
Hurricane_Rita2,2014,3,obligated,10,3630.52
Wildfire_I,2014,3,drawdown,37,58587483.37
Wildfire_I,2014,3,unknown,24,6263968255152.17
Wildfire_I,2014,3,expended,16,5381758.28
Wildfire_I,2014,3,obligated,13,670562.9
Wildfire_I,2014,3,budget,12,64979798.62
Hurricane_Ike,2014,4,drawdown,8276,14256302468.84
Hurricane_Ike,2014,4,obligated,4643,1749349858.2
Hurricane_Ike,2014,4,expended,4085,2265477105.4
Hurricane_Ike,2014,4,budget,2985,5275902086.2
Hurricane_Ike,2014,4,unknown,1501,584705143.49
Hurricane_Rita1,2014,4,unknown,18,177343907.51000002
Hurricane_Rita1,2014,4,drawdown,16,296955031.72
Hurricane_Rita1,2014,4,expended,5,1518.51
Hurricane_Rita1,2014,4,budget,5,74543000.0
Hurricane_Rita1,2014,4,obligated,2,0.0
Hurricane_Rita2,2014,4,drawdown,47,1324175574.1200001
Hurricane_Rita2,2014,4,unknown,40,2333680107.47
Hurricane_Rita2,2014,4,expended,14,15311299.850000001
Hurricane_Rita2,2014,4,budget,11,446373062.06
Hurricane_Rita2,2014,4,obligated,8,0.0
Wildfire_I,2014,4,drawdown,46,83004124.07
Wildfire_I,2014,4,expended,22,19202423.28
Wildfire_I,2014,4,unknown,20,25707023.169999998
Wildfire_I,2014,4,budget,19,94594781.89
Wildfire_I,2014,4,obligated,17,200114.06000000003
Hurricane_Ike,2015,1,drawdown,8486,22604158987612.4
Hurricane_Ike,2015,1,obligated,4545,1805537988.6
Hurricane_Ike,2015,1,expended,4115,2057897017.68
Hurricane_Ike,2015,1,budget,2868,5133579329.05
Hurricane_Ike,2015,1,unknown,1489,10762247766.09
Hurricane_Rita1,2015,1,unknown,27,173868094.65
Hurricane_Rita1,2015,1,drawdown,26,78264595.23
Hurricane_Rita1,2015,1,expended,6,3746.74
Hurricane_Rita1,2015,1,budget,6,75674632.8
Hurricane_Rita1,2015,1,obligated,4,682.75
Hurricane_Rita2,2015,1,drawdown,50,1303616591.3
Hurricane_Rita2,2015,1,unknown,36,2325282178.64
Hurricane_Rita2,2015,1,expended,17,7248039.51
Hurricane_Rita2,2015,1,obligated,12,0.0
Hurricane_Rita2,2015,1,budget,9,440501218.17
Wildfire_I,2015,1,drawdown,89,81424441.89
Wildfire_I,2015,1,expended,31,17610436.03
Wildfire_I,2015,1,unknown,30,35130825.42
Wildfire_I,2015,1,obligated,30,198784.77
Wildfire_I,2015,1,budget,24,75039649.7
Hurricane_Ike,2015,2,drawdown,5750,20278159591.67
Hurricane_Ike,2015,2,expended,2685,2018236134.18
Hurricane_Ike,2015,2,obligated,2581,1977885633.11
Hurricane_Ike,2015,2,budget,2033,6443257831.87
Hurricane_Ike,2015,2,unknown,1973,2768008013.36
Hurricane_Rita1,2015,2,unknown,26,173869356.83
Hurricane_Rita1,2015,2,drawdown,23,224675761.69
Hurricane_Rita1,2015,2,expended,6,1099128.52
Hurricane_Rita1,2015,2,budget,6,76113532.8
Hurricane_Rita1,2015,2,obligated,4,0.0
Hurricane_Rita2,2015,2,unknown,29,2276471789.2
Hurricane_Rita2,2015,2,drawdown,28,1319140302.92
Hurricane_Rita2,2015,2,expended,9,10391888.85
Hurricane_Rita2,2015,2,obligated,7,20499.66
Hurricane_Rita2,2015,2,budget,7,432923501.7
Wildfire_I,2015,2,drawdown,103,66909098.17
Wildfire_I,2015,2,expended,41,20219769.94
Wildfire_I,2015,2,unknown,39,16933060.91
Wildfire_I,2015,2,obligated,38,489625.5
Wildfire_I,2015,2,budget,27,22554406372.82
Hurricane_Ike,2015,3,drawdown,6324,20684095385.35
Hurricane_Ike,2015,3,expended,3618,2380898554.25
Hurricane_Ike,2015,3,budget,2254,6361642707.72
Hurricane_Ike,2015,3,obligated,2214,2075087544.3600001
Hurricane_Ike,2015,3,unknown,1234,5354512723.41
Hurricane_Rita1,2015,3,drawdown,31,158711347.10999998
Hurricane_Rita1,2015,3,unknown,25,170778290.0
Hurricane_Rita1,2015,3,expended,11,5487336.4399999995
Hurricane_Rita1,2015,3,obligated,8,3728498.91
Hurricane_Rita1,2015,3,budget,8,150373388.54999998
Hurricane_Rita2,2015,3,drawdown,46,1766315377.95
Hurricane_Rita2,2015,3,expended,23,449033552.09999996
Hurricane_Rita2,2015,3,unknown,21,2282199910.48
Hurricane_Rita2,2015,3,budget,13,442570786.06
Hurricane_Rita2,2015,3,obligated,11,240681.0
Wildfire_I,2015,3,drawdown,46,46851032.32
Wildfire_I,2015,3,unknown,23,6264015768681.55
Wildfire_I,2015,3,expended,20,12495503.35
Wildfire_I,2015,3,obligated,14,44326.14
Wildfire_I,2015,3,budget,8,32978438.44
Hurricane_Ike,2015,4,drawdown,6027,2270960020281.7
Hurricane_Ike,2015,4,expended,3465,2164378067.09
Hurricane_Ike,2015,4,obligated,2517,2179330254.64
Hurricane_Ike,2015,4,budget,2202,6613461009.15
Hurricane_Ike,2015,4,unknown,1137,2915466450.28
Hurricane_Rita1,2015,4,unknown,15,177368790.51000002
Hurricane_Rita1,2015,4,drawdown,15,78264681.99
Hurricane_Rita1,2015,4,expended,5,6285.66
Hurricane_Rita1,2015,4,budget,5,74531884.42
Hurricane_Rita1,2015,4,obligated,3,1108.33
Hurricane_Rita2,2015,4,drawdown,49,201790501330.37
Hurricane_Rita2,2015,4,expended,24,34810231.2
Hurricane_Rita2,2015,4,unknown,22,2277790736.04
Hurricane_Rita2,2015,4,budget,17,451178202.51
Hurricane_Rita2,2015,4,obligated,12,114317.04
Wildfire_I,2015,4,drawdown,101,63018760.66
Wildfire_I,2015,4,expended,58,7782536.34
Wildfire_I,2015,4,obligated,40,80043.35
Wildfire_I,2015,4,budget,37,70896942.4
Wildfire_I,2015,4,unknown,26,6263961577404.64
Hurricane_Ike,2016,1,drawdown,4771,12221487634.44
Hurricane_Ike,2016,1,expended,2813,1918102701.8799999
Hurricane_Ike,2016,1,obligated,1871,2304337827.01
Hurricane_Ike,2016,1,budget,1798,5726397884.06
Hurricane_Ike,2016,1,unknown,963,13696262430.880001
Hurricane_Rita1,2016,1,drawdown,30,226803214.05
Hurricane_Rita1,2016,1,unknown,25,117376577.59
Hurricane_Rita1,2016,1,expended,18,1148644.24
Hurricane_Rita1,2016,1,obligated,12,484.54999999999995
Hurricane_Rita1,2016,1,budget,11,151232956.35
Hurricane_Rita2,2016,1,drawdown,78,1180476656.84
Hurricane_Rita2,2016,1,expended,31,86353578.51
Hurricane_Rita2,2016,1,unknown,25,2277753069.82
Hurricane_Rita2,2016,1,obligated,24,0.0
Hurricane_Rita2,2016,1,budget,24,491080488.14
Wildfire_I,2016,1,drawdown,115,72711462.99
Wildfire_I,2016,1,expended,61,18280601.6
Wildfire_I,2016,1,obligated,46,176592.48
Wildfire_I,2016,1,budget,36,62240910.04
Wildfire_I,2016,1,unknown,29,6263986135021.45
Hurricane_Ike,2016,2,drawdown,3391,20427668362.34
Hurricane_Ike,2016,2,expended,2080,2029291631.06
Hurricane_Ike,2016,2,obligated,1458,2374181975.0
Hurricane_Ike,2016,2,budget,1353,6202746533.75
Hurricane_Ike,2016,2,unknown,697,15078352419.36
Hurricane_Rita1,2016,2,drawdown,26,74625585.46
Hurricane_Rita1,2016,2,unknown,17,120125575.91
Hurricane_Rita1,2016,2,budget,6,74534115.58
Hurricane_Rita1,2016,2,expended,4,1277.51
Hurricane_Rita1,2016,2,obligated,3,0.0
Hurricane_Rita2,2016,2,drawdown,22,864483947.36
Hurricane_Rita2,2016,2,unknown,17,2275866080.5
Hurricane_Rita2,2016,2,expended,6,2375068.56
Hurricane_Rita2,2016,2,budget,5,429041301.39
Hurricane_Rita2,2016,2,obligated,3,443.39
Wildfire_I,2016,2,drawdown,91,82894430.92
Wildfire_I,2016,2,expended,52,26704824.34
Wildfire_I,2016,2,obligated,35,209511.22999999998
Wildfire_I,2016,2,budget,32,67334913.12
Wildfire_I,2016,2,unknown,27,6263970577732.6
Hurricane_Ike,2016,3,drawdown,4017,11785785370598.84
Hurricane_Ike,2016,3,expended,2492,2046957054.13
Hurricane_Ike,2016,3,budget,1509,5771236520.74
Hurricane_Ike,2016,3,obligated,1494,2426201515.46
Hurricane_Ike,2016,3,unknown,802,13254897272.41
Hurricane_Rita1,2016,3,drawdown,98,97227127.35
Hurricane_Rita1,2016,3,unknown,47,132863849.2
Hurricane_Rita1,2016,3,expended,39,3411345.23
Hurricane_Rita1,2016,3,obligated,30,46526.31
Hurricane_Rita1,2016,3,budget,27,760534428156.33
Hurricane_Rita2,2016,3,drawdown,24,1288896306.16
Hurricane_Rita2,2016,3,unknown,17,2275693362.57
Hurricane_Rita2,2016,3,expended,7,2360648.41
Hurricane_Rita2,2016,3,budget,6,431273681.21
Hurricane_Rita2,2016,3,obligated,3,180728.97
Wildfire_I,2016,3,drawdown,109,69037053.69
Wildfire_I,2016,3,expended,59,10694030.58
Wildfire_I,2016,3,obligated,47,475404.83
Wildfire_I,2016,3,budget,39,70039524.83
Wildfire_I,2016,3,unknown,32,6263961722989.85
Hurricane_Ike,2016,4,drawdown,7439,16091821193836.97
Hurricane_Ike,2016,4,expended,4416,2218544865.86
Hurricane_Ike,2016,4,obligated,3334,2466915919.74
Hurricane_Ike,2016,4,budget,2755,6156789584.68
Hurricane_Ike,2016,4,unknown,1334,12931178052.03
Hurricane_Rita1,2016,4,drawdown,187,370338773.18
Hurricane_Rita1,2016,4,obligated,95,2753.97
