document_id,filename,category,disaster_code,year,quarter,page_count,file_size_bytes,processed_at,quarter_label,money_max_amount_usd_budget,money_max_amount_usd_drawdown,money_max_amount_usd_expended,money_max_amount_usd_obligated,money_max_amount_usd_unknown,money_n_mentions_budget,money_n_mentions_drawdown,money_n_mentions_expended,money_n_mentions_obligated,money_n_mentions_unknown,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,n_activities,n_activity_pages,n_unique_activities
331,rita2-2011-q3.pdf,Hurricane_Rita2,rita2,2011,3,85,190833,2026-01-29 19:40:46.207616,Q3 2011,428671849.0,190780791.0,190557479.82,428671849.0,5200000000.0,139.0,252.0,143.0,101.0,145.0,1403914467.1,1327309545.4,443040837.69,436850450.45,20224424838.07,302.0,11.0,197.0,60.0,12.0,15.0,0.0,91.0,0.0,29.0,8.0,809.0,14.0,3.0,684.0,65.0,60.0,9.0,46.0,10.0,0.0,9.0,1.0,102.0,2.0,5.0,40,81,40
253,ike-2011-q4.pdf,Hurricane_Ike,ike,2011,4,1592,2958615,2026-01-29 19:39:05.077914,Q4 2011,3113475856.0,434706423.53,37540203.54,3113472856.0,29400000000.0,1563.0,5107.0,2378.0,2224.0,2305.0,4887805765.27,2997716467.21,571393945.61,3163223365.91,33724017023.14,5121.0,50.0,4996.0,745.0,55.0,1224.0,4.0,2053.0,0.0,116.0,260.0,13672.0,89.0,178.0,9784.0,450.0,973.0,104.0,4.0,777.0,0.0,336.0,18.0,1135.0,0.0,74.0,789,1587,789
310,rita1-2011-q4.pdf,Hurricane_Rita1,rita1,2011,4,97,204013,2026-01-29 19:40:44.939297,Q4 2011,74523000.0,74417745.9,22171449.93,74523000.0,3726150000000.0,98.0,301.0,146.0,173.0,125.0,120211515.08,277373923.6,41856793.89,74533313.0,3726353370396.23,508.0,0.0,266.0,54.0,6.0,34.0,1.0,88.0,0.0,7.0,10.0,855.0,15.0,2.0,735.0,32.0,84.0,15.0,0.0,30.0,0.0,4.0,0.0,36.0,8.0,2.0,47,94,47
332,rita2-2011-q4.pdf,Hurricane_Rita2,rita2,2011,4,61,144449,2026-01-29 19:40:46.332096,Q4 2011,428671849.0,428671849.0,190647395.35,428671849.0,5200000000.0,93.0,157.0,85.0,76.0,124.0,1402734479.28,1385259515.57,340425459.34,429974275.23,19758845674.28,221.0,10.0,122.0,58.0,11.0,16.0,1.0,75.0,0.0,30.0,8.0,581.0,4.0,3.0,505.0,56.0,40.0,7.0,39.0,5.0,0.0,5.0,1.0,77.0,4.0,1.0,28,57,28
254,ike-2012-q1.pdf,Hurricane_Ike,ike,2012,1,1634,3011920,2026-01-29 19:39:07.253445,Q1 2012,3113475856.0,217553295.04,43288511.09,3113472856.0,136119910000000.0,1934.0,4947.0,2437.0,2219.0,2332.0,5018684343.73,2914952569.36,853476352.1800001,3144836807.31,229436497737285.66,5027.0,50.0,5146.0,734.0,63.0,1219.0,4.0,2147.0,0.0,118.0,277.0,13938.0,81.0,73.0,9945.0,457.0,982.0,106.0,4.0,740.0,0.0,324.0,16.0,1163.0,0.0,88.0,810,1629,810
311,rita1-2012-q1.pdf,Hurricane_Rita1,rita1,2012,1,112,226218,2026-01-29 19:40:45.106006,Q1 2012,74523000.0,74417745.9,22172190.93,74523000.0,3726150000000.0,119.0,315.0,165.0,195.0,105.0,185813805.47,273566649.92,36002358.839999996,74665278.42,3726266991463.22,606.0,0.0,287.0,70.0,6.0,45.0,1.0,53.0,0.0,11.0,13.0,914.0,3.0,2.0,776.0,44.0,86.0,14.0,0.0,40.0,0.0,3.0,0.0,41.0,12.0,45.0,54,108,54
333,rita2-2012-q1.pdf,Hurricane_Rita2,rita2,2012,1,30,80017,2026-01-29 19:40:46.406003,Q1 2012,428671849.0,428671849.0,190660684.08,428671849.0,2020000000.0,41.0,71.0,37.0,32.0,76.0,894183445.81,975108513.77,258478308.89000002,428784615.04,2871330771.41,120.0,2.0,64.0,41.0,8.0,10.0,1.0,41.0,0.0,2.0,6.0,286.0,1.0,2.0,249.0,25.0,23.0,1.0,15.0,2.0,0.0,4.0,1.0,21.0,2.0,2.0,12,26,12
255,ike-2012-q2.pdf,Hurricane_Ike,ike,2012,2,1765,3237360,2026-01-29 19:39:09.606663,Q2 2012,3113475856.0,125486548.17,56982059.87,3113472856.0,3466810000000.0,2005.0,5356.0,2620.0,2429.0,2352.0,5027296699.46,2849684902.25,775918547.79,3167491194.09,7710142189196.76,6152.0,47.0,4954.0,732.0,72.0,1472.0,4.0,2113.0,0.0,128.0,290.0,14855.0,86.0,74.0,11266.0,421.0,1029.0,101.0,4.0,817.0,0.0,356.0,13.0,1189.0,0.0,67.0,874,1760,874
312,rita1-2012-q2.pdf,Hurricane_Rita1,rita1,2012,2,64,135141,2026-01-29 19:40:45.214051,Q2 2012,74523000.0,22174256.42,22168050.93,74523000.0,3726150000000.0,66.0,179.0,96.0,109.0,72.0,119570756.65,121395044.84,40773531.08,74523207.91,3726253432638.1,269.0,0.0,180.0,44.0,4.0,9.0,1.0,65.0,0.0,7.0,7.0,549.0,2.0,0.0,434.0,19.0,26.0,10.0,0.0,6.0,0.0,3.0,0.0,27.0,3.0,10.0,30,60,30
334,rita2-2012-q2.pdf,Hurricane_Rita2,rita2,2012,2,67,151179,2026-01-29 19:40:46.530790,Q2 2012,428671849.0,428671849.0,190699988.58,428671849.0,5200000000.0,101.0,196.0,105.0,86.0,136.0,1264091037.01,1215513417.63,362061600.42,430175584.0,19765631349.06,211.0,6.0,96.0,54.0,12.0,8.0,1.0,77.0,0.0,27.0,5.0,678.0,4.0,2.0,502.0,42.0,38.0,5.0,45.0,6.0,0.0,5.0,1.0,88.0,2.0,2.0,31,63,31
