activity_id,document_id,header_page,page_number,measure_raw,measure,canonical_measure,this_period,low_actual,low_expected,mod_actual,mod_expected,total_actual,total_expected,post1,post2,post3,lmi_percent
273:682,273,682,683,Persons,persons,persons,1529.0,0,0,1529,1529,2737,2737,0.0,2737.0,55.86,683.0
273:684,273,684,685,Persons,persons,persons,1529.0,0,0,1529,1529,2737,2737,0.0,2737.0,55.86,685.0
273:686,273,686,687,Persons,persons,persons,445.0,0,0,445,445,935,935,0.0,935.0,47.59,687.0
273:688,273,688,689,Persons,persons,persons,836.0,0,0,836,836,2448,2448,0.0,2448.0,34.15,689.0
273:690,273,690,691,Persons,persons,persons,836.0,0,0,836,836,2448,2448,0.0,2448.0,34.15,691.0
273:692,273,692,693,Persons,persons,persons,151.0,0,0,151,151,289,289,0.0,289.0,52.25,
273:694,273,694,695,Persons,persons,persons,151.0,0,0,151,151,289,289,0.0,289.0,52.25,
273:696,273,696,697,Persons,persons,persons,4321.0,0,0,4321,4321,10777,10777,0.0,10777.0,40.09,
273:698,273,698,699,Persons,persons,persons,0.0,0,0,317,317,1018,1018,0.0,0.0,31.14,699.0
273:700,273,700,701,Persons,persons,persons,0.0,0,0,883,883,1976,1976,0.0,0.0,44.69,701.0
273:702,273,702,703,Persons,persons,persons,0.0,0,0,524,524,824,824,0.0,0.0,63.59,703.0
273:704,273,704,705,Persons,persons,persons,0.0,0,0,883,883,1976,1976,0.0,0.0,44.69,705.0
273:706,273,706,707,Persons,persons,persons,19.0,0,0,19,19,22,22,0.0,22.0,86.36,
273:708,273,708,709,Persons,persons,persons,1044.0,0,0,1044,1044,1996,1996,0.0,1996.0,52.3,
273:710,273,710,711,Persons,persons,persons,2276.0,0,0,2276,2276,4337,4337,0.0,4337.0,52.48,
273:712,273,712,713,Persons,persons,persons,940.0,0,0,940,940,1198,1198,0.0,1198.0,78.46,
273:714,273,714,715,Persons,persons,persons,1946.0,0,0,1946,1946,3039,3039,0.0,3039.0,64.03,
273:716,273,716,717,Persons,persons,persons,1192.0,0,0,1192,1192,1757,1757,0.0,1757.0,67.84,
273:718,273,718,719,Persons,persons,persons,984.0,0,0,984,984,1300,1300,0.0,1300.0,75.69,719.0
273:720,273,720,721,Persons,persons,persons,984.0,0,0,984,984,1300,1300,0.0,1300.0,75.69,75.69
273:722,273,722,723,Persons,persons,persons,984.0,0,0,984,984,1300,1300,0.0,1300.0,75.69,75.69
273:724,273,724,725,Persons,persons,persons,607.0,0,0,607,607,779,779,0.0,779.0,77.92,
273:726,273,726,727,Persons,persons,persons,607.0,0,0,607,607,779,779,0.0,779.0,77.92,
273:728,273,728,729,Persons,persons,persons,7460.0,0,0,7460,7460,13781,13781,0.0,13781.0,54.13,54.13
273:730,273,730,731,Persons,persons,persons,7460.0,0,0,7460,7460,13781,13781,0.0,13781.0,54.13,731.0
273:732,273,732,733,Persons,persons,persons,7460.0,0,0,7460,7460,13781,13781,0.0,13781.0,54.13,
273:734,273,734,735,Persons,persons,persons,129.0,0,0,129,129,297,297,0.0,297.0,43.43,735.0
273:736,273,736,737,Persons,persons,persons,6007.0,0,0,6007,6007,15224,15224,0.0,15224.0,39.46,
273:738,273,738,739,Persons,persons,persons,395.0,0,0,395,395,849,849,0.0,849.0,46.53,
273:740,273,740,741,Persons,persons,persons,704.0,0,0,704,704,2183,2183,0.0,2183.0,32.25,
273:742,273,742,743,Persons,persons,persons,517.0,0,0,517,517,801,801,0.0,801.0,64.54,
273:744,273,744,745,Persons,persons,persons,387.0,0,0,387,387,716,716,0.0,716.0,54.05,
273:746,273,746,747,Persons,persons,persons,604.0,0,0,604,604,1490,1490,0.0,1490.0,40.54,
273:748,273,748,749,Persons,persons,persons,135.0,0,0,135,135,135,135,0.0,135.0,100.0,
273:750,273,750,751,Persons,persons,persons,926.0,0,0,926,926,1811,1811,0.0,1811.0,51.13,751.0
273:752,273,752,753,Persons,persons,persons,440.0,0,0,440,440,902,902,0.0,902.0,48.78,
273:754,273,754,755,Persons,persons,persons,345.0,0,0,345,345,519,519,0.0,519.0,66.47,
273:756,273,756,757,Persons,persons,persons,3849.0,0,0,3849,3849,7626,7626,0.0,7626.0,50.47,
273:758,273,758,759,Persons,persons,persons,3849.0,0,0,3849,3849,7626,7626,0.0,7626.0,50.47,
273:760,273,760,761,Persons,persons,persons,3849.0,0,0,3849,3849,7626,7626,0.0,7626.0,50.47,
273:774,273,774,775,Persons,persons,persons,2047.0,0,0,2047,2047,5169,5169,0.0,5169.0,39.6,
273:776,273,776,777,Persons,persons,persons,2047.0,0,0,2047,2047,5169,5169,0.0,5169.0,39.6,
273:778,273,778,779,Persons,persons,persons,2047.0,0,0,2047,2047,5169,5169,0.0,5169.0,39.6,
273:780,273,780,781,Persons,persons,persons,2047.0,0,0,2047,2047,5169,5169,0.0,5169.0,39.6,
273:782,273,782,783,Persons,persons,persons,28823.0,0,0,28823,28823,69218,69218,0.0,69218.0,41.64,
273:784,273,784,785,Persons,persons,persons,9498.0,0,0,9498,9498,15235,15235,0.0,15235.0,62.34,
273:786,273,786,787,Persons,persons,persons,847.0,0,0,847,847,1617,1617,0.0,1617.0,52.38,787.0
273:788,273,788,789,Persons,persons,persons,231.0,0,0,231,231,331,331,0.0,331.0,69.79,
273:790,273,790,791,Persons,persons,persons,225.0,0,0,225,225,598,598,0.0,598.0,37.63,
273:792,273,792,793,Persons,persons,persons,1169.0,0,0,1169,1169,1989,1989,0.0,1989.0,58.77,
273:794,273,794,795,Persons,persons,persons,1169.0,0,0,1169,1169,1989,1989,0.0,1989.0,58.77,
273:796,273,796,797,Persons,persons,persons,1169.0,0,0,1169,1169,1989,1989,0.0,1989.0,58.77,
273:798,273,798,799,Persons,persons,persons,4181.0,0,0,4181,4181,10060,10060,0.0,10060.0,41.56,
273:800,273,800,801,Persons,persons,persons,160.0,0,0,160,160,460,460,0.0,460.0,34.78,
273:802,273,802,803,Persons,persons,persons,4181.0,0,0,4181,4181,10060,10060,0.0,10060.0,41.56,41.6
273:804,273,804,805,Persons,persons,persons,4181.0,0,0,4181,4181,10060,10060,0.0,10060.0,41.56,
273:806,273,806,807,Persons,persons,persons,2056.0,0,0,2056,2056,4013,4013,0.0,4013.0,51.23,
273:808,273,808,809,Persons,persons,persons,480.0,0,0,480,480,1081,1081,0.0,1081.0,44.4,44.4
273:810,273,810,811,Persons,persons,persons,336.0,0,0,336,336,814,814,0.0,814.0,41.28,
273:812,273,812,813,Persons,persons,persons,231.0,0,0,231,231,256,256,0.0,256.0,90.23,
273:814,273,814,815,Persons,persons,persons,10438.0,0,0,10438,10438,22257,22257,0.0,22257.0,46.9,
273:816,273,816,817,Persons,persons,persons,589.0,0,0,589,589,1116,1116,0.0,1116.0,52.78,
273:818,273,818,819,Persons,persons,persons,733.0,0,0,733,733,1645,1645,0.0,1645.0,44.56,44.56
273:820,273,820,821,Persons,persons,persons,13.0,0,0,13,13,38,38,0.0,38.0,34.21,
273:822,273,822,823,Persons,persons,persons,998.0,0,0,998,998,1792,1792,0.0,1792.0,55.69,
273:824,273,824,825,Persons,persons,persons,2696.0,0,0,2696,2696,5149,5149,0.0,5149.0,52.36,825.0
273:826,273,826,827,Persons,persons,persons,13.0,0,0,13,13,38,38,0.0,38.0,34.21,
273:828,273,828,829,Persons,persons,persons,1164.0,0,0,1164,1164,1946,1946,0.0,1946.0,59.82,829.0
273:830,273,830,831,Persons,persons,persons,6337.0,0,0,6337,6337,11998,11998,0.0,11998.0,52.82,52.82
273:832,273,832,833,Persons,persons,persons,8334.0,0,0,8334,8334,13870,13870,0.0,13870.0,60.09,60.09
273:834,273,834,835,Persons,persons,persons,8334.0,0,0,8334,8334,13870,13870,0.0,13870.0,60.09,60.09
273:836,273,836,837,Persons,persons,persons,8334.0,0,0,8334,8334,13870,13870,0.0,13870.0,60.09,837.0
273:838,273,838,839,Persons,persons,persons,180.0,0,0,180,180,283,283,0.0,283.0,63.6,
273:840,273,840,841,Persons,persons,persons,11611.0,0,0,11611,11611,17798,17798,0.0,17798.0,65.24,65.24
273:842,273,842,843,Persons,persons,persons,267.0,0,0,267,267,471,471,0.0,471.0,56.69,
273:844,273,844,845,Persons,persons,persons,17871.0,0,0,17871,17871,34430,34430,0.0,34430.0,51.91,51.91
273:846,273,846,847,Persons,persons,persons,162.0,0,0,162,162,625,625,0.0,625.0,25.92,11.99
273:848,273,848,849,Persons,persons,persons,100.0,0,0,100,100,1305,1305,0.0,1305.0,7.66,7.7
273:850,273,850,851,Persons,persons,persons,104104.0,0,0,104104,10410,292087,29208,0.0,292087.0,35.64,851.0
273:852,273,852,853,Persons,persons,persons,586.0,0,0,586,586,2258,2258,0.0,2258.0,25.95,25.95
273:854,273,854,855,Persons,persons,persons,586.0,0,0,586,586,2258,2258,0.0,2258.0,25.95,25.95
273:856,273,856,857,Persons,persons,persons,586.0,0,0,586,586,2258,2258,0.0,2258.0,25.95,25.95
273:859,273,859,860,Persons,persons,persons,586.0,0,0,586,586,2258,2258,0.0,2258.0,25.95,25.95
273:861,273,861,862,Persons,persons,persons,81.0,0,0,81,81,163,163,0.0,163.0,49.69,
273:863,273,863,864,Persons,persons,persons,96.0,0,0,96,96,310,310,0.0,310.0,30.97,864.0
273:865,273,865,866,Persons,persons,persons,2220.0,0,0,2220,2220,2784,2784,0.0,2784.0,79.74,
273:867,273,867,868,Persons,persons,persons,1866.0,0,0,1866,1866,3342,3342,0.0,3342.0,55.83,
273:869,273,869,870,Persons,persons,persons,2828.0,0,0,2828,2828,4338,4338,0.0,4338.0,65.19,
273:871,273,871,872,Persons,persons,persons,1386.0,0,0,1386,1386,3152,3152,0.0,3152.0,43.97,872.0
273:873,273,873,874,Persons,persons,persons,1977.0,0,0,1977,1977,3849,3849,0.0,3849.0,51.36,
273:875,273,875,876,Persons,persons,persons,13400.0,0,0,13400,13400,26197,26197,0.0,26197.0,51.15,
273:877,273,877,878,Persons,persons,persons,0.0,0,0,0,0,771,771,0.0,771.0,0.0,
273:879,273,879,880,Persons,persons,persons,24425.0,0,0,24425,24425,54683,54683,0.0,54683.0,44.67,880.0
273:881,273,881,882,Persons,persons,persons,902.0,0,0,902,902,1830,1830,0.0,1830.0,49.29,
273:883,273,883,884,Persons,persons,persons,902.0,0,0,902,902,1830,1830,0.0,1830.0,49.29,
273:885,273,885,886,Persons,persons,persons,902.0,0,0,902,902,1830,1830,0.0,1830.0,49.29,
273:887,273,887,888,Persons,persons,persons,3066.0,0,0,3066,3067,7192,7192,0.0,7192.0,42.63,
273:891,273,891,892,Persons,persons,persons,510.0,0,0,510,510,2972,2972,0.0,2972.0,17.16,
273:893,273,893,894,Persons,persons,persons,513.0,0,0,513,513,1415,1415,0.0,1415.0,36.25,36.25
273:895,273,895,896,Persons,persons,persons,513.0,0,0,513,513,1415,1415,0.0,1415.0,36.25,36.25
273:897,273,897,898,Persons,persons,persons,511.0,0,0,511,511,1176,1176,0.0,1176.0,43.45,
273:899,273,899,900,Persons,persons,persons,511.0,0,0,511,511,1176,1176,0.0,1176.0,43.45,
273:901,273,901,902,Persons,persons,persons,4797.0,0,0,4797,4797,7904,7904,0.0,7904.0,60.69,902.0
273:903,273,903,904,Persons,persons,persons,8722.0,0,0,8722,8722,17925,17925,0.0,17925.0,48.66,
273:905,273,905,906,Persons,persons,persons,5189.0,0,0,5189,5189,10559,10559,0.0,10559.0,49.14,
273:907,273,907,908,Persons,persons,persons,898.0,0,0,898,898,1632,1632,0.0,1632.0,55.02,
273:909,273,909,910,Persons,persons,persons,1204.0,0,0,1204,1204,1948,1948,0.0,1948.0,61.81,
273:911,273,911,912,Persons,persons,persons,1771.0,0,0,1771,1771,2472,2472,0.0,2472.0,71.64,
273:913,273,913,914,Persons,persons,persons,4797.0,0,0,4797,4797,7904,7904,0.0,7904.0,60.69,914.0
273:915,273,915,916,Persons,persons,persons,1531.0,0,0,1531,1531,2944,2944,0.0,2944.0,52.0,
273:917,273,917,918,Persons,persons,persons,4964.0,0,0,4964,4964,8498,8498,0.0,8498.0,58.41,918.0
273:919,273,919,920,Persons,persons,persons,1531.0,0,0,1531,1531,2944,2944,0.0,2944.0,52.0,
273:921,273,921,922,Persons,persons,persons,308.0,0,0,308,308,654,654,0.0,654.0,47.09,
273:923,273,923,924,Persons,persons,persons,100.0,0,0,100,100,105,105,0.0,105.0,95.24,
273:925,273,925,926,Persons,persons,persons,1976.0,0,0,1976,1976,2195,2195,0.0,2195.0,90.02,
273:927,273,927,928,Persons,persons,persons,100.0,0,0,100,100,105,105,0.0,105.0,95.24,
273:929,273,929,930,Persons,persons,persons,1976.0,0,0,1976,1976,2195,2195,0.0,2195.0,90.02,930.0
273:931,273,931,932,Persons,persons,persons,227.0,0,0,227,227,412,412,0.0,412.0,55.1,
273:933,273,933,934,Persons,persons,persons,1881.0,0,0,1881,1881,3758,3758,0.0,3758.0,50.05,
273:935,273,935,936,Persons,persons,persons,198.0,0,0,198,198,208,208,0.0,208.0,95.19,
273:937,273,937,938,Persons,persons,persons,36.0,0,0,36,36,64,64,0.0,64.0,56.25,
273:939,273,939,940,Persons,persons,persons,201.0,0,0,201,201,296,296,0.0,296.0,67.91,
273:943,273,943,944,Persons,persons,persons,483.0,0,0,483,483,1991,1991,0.0,1991.0,24.26,
273:945,273,945,946,Persons,persons,persons,306.0,0,0,306,306,579,579,0.0,579.0,52.85,52.85
273:947,273,947,948,Persons,persons,persons,4457.0,0,0,4457,4457,6485,6485,0.0,6485.0,68.73,
273:949,273,949,950,Persons,persons,persons,429.0,0,0,429,429,939,939,0.0,939.0,45.69,
273:951,273,951,952,Persons,persons,persons,384.0,0,0,384,384,870,870,0.0,870.0,44.14,44.14
273:953,273,953,954,Persons,persons,persons,0.0,0,0,157,157,301,301,0.0,0.0,52.16,52.16
273:955,273,955,956,Persons,persons,persons,169.0,0,0,169,169,291,291,0.0,291.0,58.08,52.25
273:957,273,957,958,Persons,persons,persons,169.0,0,0,169,169,291,291,0.0,291.0,58.08,958.0
273:959,273,959,960,Persons,persons,persons,332.0,0,0,332,332,614,614,0.0,614.0,54.07,
