keyword,category,disaster_code,year,quarter,n_pages,n_documents
fte,Harvey_57M_Performance,hh57m,2021,1,1,1
fte,Harvey_57M_Performance,hh57m,2021,2,1,1
fte,Harvey_57M_Performance,hh57m,2021,3,1,1
fte,Harvey_57M_Performance,hh57m,2021,4,1,1
fte,Harvey_57M_Performance,hh57m,2022,1,1,1
fte,Harvey_57M_Performance,hh57m,2022,2,1,1
fte,Harvey_57M_Performance,hh57m,2022,3,1,1
fte,Harvey_57M_Performance,hh57m,2022,4,1,1
fte,Harvey_57M_Performance,hh57m,2023,1,1,1
fte,Harvey_57M_Performance,hh57m,2023,2,1,1
fte,Harvey_57M_Performance,hh57m,2023,3,1,1
fte,Harvey_57M_Performance,hh57m,2024,1,1,1
fte,Harvey_57M_Performance,hh57m,2024,2,1,1
fte,Harvey_57M_Performance,hh57m,2024,3,1,1
fte,Harvey_57M_Performance,hh57m,2024,4,1,1
fte,Harvey_57M_Performance,hh57m,2025,1,1,1
fte,Harvey_57M_Performance,hh57m,2025,3,1,1
fte,Harvey_57M_Performance,hh57m-ap,2019,4,1,1
fte,Harvey_5B_ActionPlan,h5b,2022,3,3,1
fte,Harvey_5B_ActionPlan,h5b,2022,4,3,1
fte,Harvey_5B_ActionPlan,h5b,2023,1,3,1
fte,Harvey_5B_ActionPlan,h5b,2023,2,3,1
fte,Harvey_5B_ActionPlan,h5b,2023,3,3,1
fte,Harvey_5B_ActionPlan,h5b,2023,4,3,1
fte,Harvey_5B_ActionPlan,h5b,2024,1,3,1
fte,Harvey_5B_ActionPlan,h5b,2024,2,3,1
fte,Harvey_5B_ActionPlan,h5b,2024,3,3,1
fte,Harvey_5B_ActionPlan,h5b,2024,4,3,1
fte,Harvey_5B_ActionPlan,h5b,2025,1,5,1
fte,Harvey_5B_ActionPlan,h5b,2025,2,5,1
fte,Harvey_5B_ActionPlan,h5b,2025,3,5,1
fte,Harvey_5B_ActionPlan,h5b,2025,4,5,1
fte,Harvey_5B_ActionPlan,hh5b,2020,3,39,1
fte,Harvey_5B_ActionPlan,hh5b,2020,4,41,1
fte,Harvey_5B_ActionPlan,hh5b,2021,1,49,1
fte,Harvey_5B_ActionPlan,hh5b,2021,2,49,1
fte,Harvey_5B_ActionPlan,hh5b,2021,3,4,1
fte,Harvey_5B_ActionPlan,hh5b,2021,4,4,1
fte,Harvey_5B_ActionPlan,hh5b,2022,1,3,1
fte,Harvey_5B_ActionPlan,hh5b,2022,2,3,1
fte,Harvey_5B_ActionPlan,hh5b-ap,2019,4,10,1
fte,Harvey_5B_ActionPlan,hh5b-ap,2020,1,25,1
fte,Harvey_5B_ActionPlan,hh5b-ap,2020,2,33,1
fte,Harvey_5B_Performance,h5b,2018,4,1,1
fte,Harvey_5B_Performance,h5b,2019,1,1,1
fte,Harvey_5B_Performance,h5b,2019,2,5,1
fte,Harvey_5B_Performance,h5b,2019,3,4,1
fte,Harvey_5B_Performance,h5b,2019,4,6,1
fte,Harvey_5B_Performance,h5b,2020,1,20,1
fte,Harvey_5B_Performance,h5b,2020,2,19,1
fte,Harvey_5B_Performance,h5b,2020,3,23,1
fte,Harvey_5B_Performance,h5b,2020,4,22,1
fte,Harvey_5B_Performance,h5b,2021,1,25,1
fte,Harvey_5B_Performance,h5b,2021,2,23,1
fte,Harvey_5B_Performance,h5b,2021,3,3,1
fte,Harvey_5B_Performance,h5b,2021,4,3,1
fte,Harvey_5B_Performance,h5b,2022,1,3,1
fte,Harvey_5B_Performance,h5b,2022,2,4,1
fte,Harvey_5B_Performance,h5b,2022,3,3,1
fte,Harvey_5B_Performance,h5b,2022,4,5,1
fte,Harvey_5B_Performance,h5b,2023,2,5,1
fte,Harvey_5B_Performance,h5b,2023,3,4,1
fte,Harvey_5B_Performance,h5b,2023,4,5,1
fte,Harvey_5B_Performance,h5b,2024,1,5,1
fte,Harvey_5B_Performance,h5b,2024,2,8,1
fte,Harvey_5B_Performance,h5b,2024,3,3,1
fte,Harvey_5B_Performance,h5b,2024,4,8,1
fte,Harvey_5B_Performance,h5b,2025,1,6,1
fte,Harvey_5B_Performance,h5b,2025,2,6,1
fte,Harvey_5B_Performance,h5b,2025,3,7,1
fte,Harvey_5B_Performance,harveygrantperformance,2023,1,5,1
fte,Harvey_5B_Performance,hh5b,2018,3,1,1
fte,Hurricane_Ike,ike,2009,4,3,1
fte,Hurricane_Ike,ike,2010,1,4,1
fte,Hurricane_Ike,ike,2010,2,4,1
fte,Hurricane_Ike,ike,2010,3,13,1
fte,Hurricane_Ike,ike,2010,4,13,1
fte,Hurricane_Ike,ike,2011,1,13,1
fte,Hurricane_Ike,ike,2011,2,13,1
fte,Hurricane_Ike,ike,2011,3,16,1
fte,Hurricane_Ike,ike,2011,4,17,1
fte,Hurricane_Ike,ike,2012,1,19,1
fte,Hurricane_Ike,ike,2012,2,27,1
fte,Hurricane_Ike,ike,2012,3,29,1
fte,Hurricane_Ike,ike,2012,4,31,1
fte,Hurricane_Ike,ike,2013,1,29,1
fte,Hurricane_Ike,ike,2013,2,33,1
fte,Hurricane_Ike,ike,2013,3,37,1
fte,Hurricane_Ike,ike,2013,4,37,1
fte,Hurricane_Ike,ike,2014,1,42,1
fte,Hurricane_Ike,ike,2014,2,41,1
fte,Hurricane_Ike,ike,2014,3,37,1
fte,Hurricane_Ike,ike,2014,4,47,1
fte,Hurricane_Ike,ike,2015,1,50,1
fte,Hurricane_Ike,ike,2015,2,33,1
fte,Hurricane_Ike,ike,2015,3,31,1
fte,Hurricane_Ike,ike,2015,4,24,1
fte,Hurricane_Ike,ike,2016,1,17,1
fte,Hurricane_Ike,ike,2016,2,16,1
fte,Hurricane_Ike,ike,2016,3,18,1
fte,Hurricane_Ike,ike,2016,4,35,1
fte,Hurricane_Ike,ike,2017,1,17,1
fte,Hurricane_Ike,ike,2017,2,12,1
fte,Hurricane_Ike,ike,2017,3,28,1
fte,Hurricane_Ike,ike,2017,4,10,1
fte,Hurricane_Ike,ike,2018,1,6,1
fte,Hurricane_Ike,ike,2018,2,5,1
fte,Hurricane_Ike,ike,2018,3,8,1
fte,Hurricane_Ike,ike,2018,4,7,1
fte,Hurricane_Ike,ike,2019,1,5,1
fte,Hurricane_Ike,ike,2019,2,26,1
fte,Hurricane_Ike,ike,2019,3,13,1
fte,Hurricane_Ike,ike,2019,4,5,1
fte,Hurricane_Ike,ike,2020,1,2,1
fte,Hurricane_Ike,ike,2020,2,1,1
fte,Hurricane_Ike,ike,2020,3,14,1
fte,Hurricane_Ike,ike,2020,4,2,1
fte,Hurricane_Ike,ike,2021,1,2,1
fte,Hurricane_Ike,ike,2021,4,2,1
fte,Hurricane_Ike,ike,2022,1,13,1
fte,Hurricane_Ike,ike,2022,2,6,1
fte,Hurricane_Ike,ike,2022,4,2,1
fte,Hurricane_Ike,ike,2023,4,1,1
fte,Hurricane_Ike,ike,2024,1,1,1
fte,Hurricane_Ike,ike,2025,1,1,1
fte,Hurricane_Rita1,rita1,2011,3,15,1
fte,Hurricane_Rita1,rita1,2011,4,6,1
fte,Hurricane_Rita1,rita1,2012,1,8,1
fte,Hurricane_Rita1,rita1,2012,2,4,1
fte,Hurricane_Rita1,rita1,2012,3,1,1
fte,Hurricane_Rita1,rita1,2013,2,2,1
fte,Hurricane_Rita1,rita1,2013,3,1,1
fte,Hurricane_Rita1,rita1,2014,1,1,1
fte,Hurricane_Rita1,rita1,2015,2,1,1
fte,Hurricane_Rita1,rita1,2015,3,1,1
fte,Hurricane_Rita1,rita1,2016,3,1,1
fte,Hurricane_Rita1,rita1,2016,4,1,1
fte,Hurricane_Rita2,rita2,2011,3,5,1
fte,Hurricane_Rita2,rita2,2011,4,5,1
fte,Hurricane_Rita2,rita2,2012,1,4,1
fte,Hurricane_Rita2,rita2,2012,2,2,1
fte,Hurricane_Rita2,rita2,2012,3,1,1
fte,Hurricane_Rita2,rita2,2012,4,1,1
fte,Hurricane_Rita2,rita2,2013,1,2,1
fte,Hurricane_Rita2,rita2,2013,2,2,1
fte,Hurricane_Rita2,rita2,2013,3,1,1
fte,Hurricane_Rita2,rita2,2013,4,2,1
fte,Hurricane_Rita2,rita2,2014,1,3,1
fte,Hurricane_Rita2,rita2,2014,2,1,1
fte,Hurricane_Rita2,rita2,2014,3,1,1
fte,Hurricane_Rita2,rita2,2014,4,1,1
fte,Hurricane_Rita2,rita2,2015,1,2,1
fte,Hurricane_Rita2,rita2,2015,2,1,1
fte,Hurricane_Rita2,rita2,2015,3,2,1
fte,Hurricane_Rita2,rita2,2015,4,2,1
fte,Hurricane_Rita2,rita2,2016,1,1,1
fte,Hurricane_Rita2,rita2,2016,2,1,1
fte,Hurricane_Rita2,rita2,2016,3,1,1
fte,Hurricane_Rita2,rita2,2016,4,3,1
fte,Hurricane_Rita2,rita2,2017,1,1,1
fte,Hurricane_Rita2,rita2,2017,2,1,1
fte,Hurricane_Rita2,rita2,2017,3,1,1
fte,Hurricane_Rita2,rita2,2017,4,2,1
fte,Mitigation_ActionPlan,mit,2021,4,1,1
fte,Mitigation_ActionPlan,mit,2022,1,1,1
fte,Mitigation_ActionPlan,mit,2022,2,1,1
fte,Mitigation_ActionPlan,mit,2022,3,1,1
fte,Mitigation_ActionPlan,mit,2022,4,1,1
fte,Mitigation_ActionPlan,mit,2023,1,1,1
fte,Mitigation_ActionPlan,mit,2023,2,1,1
fte,Mitigation_ActionPlan,mit,2023,3,1,1
fte,Mitigation_ActionPlan,mit,2023,4,2,1
fte,Mitigation_ActionPlan,mit,2024,1,3,1
fte,Mitigation_ActionPlan,mit,2024,2,3,1
fte,Mitigation_ActionPlan,mit,2024,3,3,1
fte,Mitigation_ActionPlan,mit,2024,4,3,1
fte,Mitigation_ActionPlan,mit,2025,1,3,1
fte,Mitigation_ActionPlan,mit,2025,2,3,1
fte,Mitigation_ActionPlan,mit,2025,3,3,1
fte,Mitigation_ActionPlan,mit,2025,4,3,1
fte,Mitigation_Performance,mit,2021,4,1,1
fte,Mitigation_Performance,mit,2022,1,1,1
fte,Mitigation_Performance,mit,2022,2,1,1
fte,Mitigation_Performance,mit,2022,3,1,1
fte,Mitigation_Performance,mit,2022,4,2,1
fte,Mitigation_Performance,mit,2023,2,1,1
fte,Mitigation_Performance,mit,2023,3,1,1
fte,Mitigation_Performance,mit,2023,4,2,1
fte,Mitigation_Performance,mit,2024,1,1,1
fte,Mitigation_Performance,mit,2024,2,2,1
fte,Mitigation_Performance,mit,2024,3,2,1
fte,Mitigation_Performance,mit,2024,4,2,1
fte,Mitigation_Performance,mit,2025,1,1,1
fte,Mitigation_Performance,mit,2025,2,3,1
fte,Mitigation_Performance,mit,2025,3,2,1
fte,Mitigation_Performance,mitigationgrantreport,2023,1,1,1
fte,Wildfire_I,wf1,2014,1,1,1
fte,Wildfire_I,wf1,2014,3,1,1
fte,Wildfire_I,wf1,2017,1,1,1
fte,Wildfire_I,wf1,2017,2,1,1
fte,Wildfire_I,wf1,2024,2,1,1
fte,Wildfire_I,wf1,2024,3,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2021,3,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2021,4,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2022,1,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2022,2,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2022,3,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2022,4,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2023,1,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2023,2,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2023,3,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2023,4,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2024,1,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2024,3,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2024,4,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2025,2,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2025,3,1,1
death,2019_Disasters_ActionPlan,2019-disasters,2025,4,1,1
death,2019_Disasters_Performance,2019-disasters,2021,2,1,1
death,2019_Disasters_Performance,2019-disasters,2021,3,1,1
death,2019_Disasters_Performance,2019-disasters,2021,4,1,1
death,2019_Disasters_Performance,2019-disasters,2022,1,1,1
death,2019_Disasters_Performance,2019-disasters,2022,2,1,1
death,2019_Disasters_Performance,2019-disasters,2022,3,1,1
death,2019_Disasters_Performance,2019-disasters,2022,4,1,1
death,2019_Disasters_Performance,2019-disasters,2023,2,1,1
death,2019_Disasters_Performance,2019-disasters,2023,3,1,1
death,2019_Disasters_Performance,2019-disasters,2023,4,1,1
death,2019_Disasters_Performance,2019-disasters,2024,1,1,1
death,2019_Disasters_Performance,2019-disasters,2024,2,1,1
death,2019_Disasters_Performance,2019-disasters,2024,3,1,1
death,2019_Disasters_Performance,2019-disasters,2024,4,1,1
death,2019_Disasters_Performance,2019-disasters,2025,1,1,1
death,2019_Disasters_Performance,2019-disasters,2025,2,1,1
death,2019_Disasters_Performance,2019-disasters,2025,3,1,1
death,2019_Disasters_Performance,2019-disastersgrantreport,2023,1,1,1
economic loss,2016_Floods,16f,2019,4,1,1
economic loss,2016_Floods,16f,2020,1,1,1
economic loss,2016_Floods,16f,2020,3,1,1
economic loss,2016_Floods,16f,2020,4,1,1
economic loss,2016_Floods,16f,2021,1,1,1
economic loss,2016_Floods,16f,2021,2,1,1
economic loss,2016_Floods,16f,2021,3,1,1
economic loss,2016_Floods,16f,2021,4,1,1
economic loss,2016_Floods,16f,2022,1,1,1
economic loss,2016_Floods,16f,2022,2,1,1
economic loss,2016_Floods,16f,2022,3,1,1
economic loss,2016_Floods,16f,2022,4,1,1
economic loss,2016_Floods,16f,2023,1,1,1
economic loss,2016_Floods,16f,2023,2,1,1
economic loss,2016_Floods,16f,2023,3,1,1
economic loss,2016_Floods,16f,2023,4,1,1
economic loss,2016_Floods,16f,2024,1,1,1
economic loss,2016_Floods,16f,2024,2,1,1
economic loss,2016_Floods,16f,2024,3,1,1
economic loss,2016_Floods,16f,2024,4,1,1
economic loss,2016_Floods,16f,2025,1,1,1
economic loss,2016_Floods,16f,2025,2,1,1
economic loss,2016_Floods,16f,2025,3,1,1
economic loss,2016_Floods,f16,2018,2,1,1
economic loss,2016_Floods,f16,2018,3,1,1
economic loss,2016_Floods,f16,2018,4,1,1
economic loss,2016_Floods,f16,2019,1,1,1
economic loss,2016_Floods,f16,2019,2,1,1
economic loss,2016_Floods,f16,2019,3,1,1
economic loss,2016_Floods,f16,2020,2,1,1
property damage,2016_Floods,16f,2019,4,1,1
property damage,2016_Floods,16f,2020,1,1,1
property damage,2016_Floods,16f,2020,3,1,1
property damage,2016_Floods,16f,2020,4,1,1
property damage,2016_Floods,16f,2021,1,1,1
property damage,2016_Floods,16f,2021,2,1,1
property damage,2016_Floods,16f,2021,3,1,1
property damage,2016_Floods,16f,2021,4,1,1
property damage,2016_Floods,16f,2022,1,1,1
property damage,2016_Floods,16f,2022,2,1,1
property damage,2016_Floods,16f,2022,3,1,1
property damage,2016_Floods,16f,2022,4,1,1
