category,disaster_code,year,quarter,n_mentions,max_value,metric
2018_Floods_Performance,2018-floods,2025,3,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floodsgrantreport,2023,1,2,600.0,rainfall_inches
2019_Disasters_ActionPlan,2018-floods,2024,2,10,600.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2021,3,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2021,4,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2022,1,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2022,2,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2022,3,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2022,4,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2023,1,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2023,2,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2023,3,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2023,4,5,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2024,1,31,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2024,3,31,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2024,4,31,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2025,2,31,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2025,3,31,6.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2025,4,31,6.0,rainfall_inches
2019_Disasters_Performance,2019-disasters,2021,2,5,100.0,rainfall_inches
2019_Disasters_Performance,2019-disasters,2021,3,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2021,4,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2022,1,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2022,2,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2022,3,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2022,4,5,56.0,rainfall_inches
2019_Disasters_Performance,2019-disasters,2023,2,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2023,3,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2023,4,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2024,1,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2024,2,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2024,3,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2024,4,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2025,1,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2025,2,4,,rainfall_inches
2019_Disasters_Performance,2019-disasters,2025,3,4,,rainfall_inches
2019_Disasters_Performance,2019-disastersgrantreport,2023,1,4,,rainfall_inches
2024_Disasters,2024-disasters,2025,4,4,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2020,3,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2020,4,10,2000.0,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2021,1,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2022,3,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2022,4,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2023,1,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2023,2,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2023,3,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2023,4,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2024,1,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2024,2,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2024,3,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2024,4,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2025,1,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2025,2,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2025,3,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m,2025,4,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2019,4,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2020,1,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2020,2,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2021,2,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2021,3,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2021,4,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2022,1,3,,rainfall_inches
Harvey_57M_ActionPlan,hh57m-ap,2022,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2018,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2018,4,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2019,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2019,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2019,4,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2020,1,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2020,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2020,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2020,4,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2021,1,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2021,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2021,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2021,4,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2022,1,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2022,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2022,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2022,4,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2023,1,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2023,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2023,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2024,1,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2024,2,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2024,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2024,4,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2025,1,3,,rainfall_inches
Harvey_57M_Performance,hh57m,2025,3,3,,rainfall_inches
Harvey_57M_Performance,hh57m-ap,2019,4,3,,rainfall_inches
Harvey_5B_ActionPlan,h5b,2022,3,7,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2022,4,7,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2023,1,7,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2023,2,7,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2023,3,11,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2023,4,125,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2024,1,125,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2024,2,123,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2024,3,123,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2024,4,123,2000.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2025,1,126,8122021095131.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2025,2,124,8122021095131.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2025,3,124,8122021095131.0,rainfall_inches
Harvey_5B_ActionPlan,h5b,2025,4,272,8122021095131.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2020,3,10,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2020,4,10,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2021,1,10,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2021,2,10,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2021,3,8,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2021,4,8,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2022,1,8,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b,2022,2,7,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b-ap,2019,4,5,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b-ap,2020,1,9,2000.0,rainfall_inches
Harvey_5B_ActionPlan,hh5b-ap,2020,2,10,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2018,4,3,,rainfall_inches
Harvey_5B_Performance,h5b,2019,1,5,0.0,rainfall_inches
Harvey_5B_Performance,h5b,2019,2,5,0.0,rainfall_inches
Harvey_5B_Performance,h5b,2019,3,15,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2019,4,14,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2020,1,20,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2020,2,17,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2020,3,19,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2020,4,19,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2021,1,15,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2021,2,16,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2021,3,15,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2021,4,15,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2022,1,12,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2022,2,12,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2022,3,7,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2022,4,17,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2023,2,19,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2023,3,13,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2023,4,9,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2024,1,9,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2024,2,9,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2024,3,123,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2024,4,6,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2025,1,11,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2025,2,7,2000.0,rainfall_inches
Harvey_5B_Performance,h5b,2025,3,7,2000.0,rainfall_inches
Harvey_5B_Performance,harveygrantperformance,2023,1,17,2000.0,rainfall_inches
Harvey_5B_Performance,hh5b,2018,3,3,,rainfall_inches
Hurricane_Ike,ike,2009,3,2,2008.0,rainfall_inches
Hurricane_Ike,ike,2009,4,41,3193.0,rainfall_inches
Hurricane_Ike,ike,2010,1,62,5115.0,rainfall_inches
Hurricane_Ike,ike,2010,2,247,5115.0,rainfall_inches
Hurricane_Ike,ike,2010,3,254,5115.0,rainfall_inches
Hurricane_Ike,ike,2010,4,285,5115.0,rainfall_inches
Hurricane_Ike,ike,2011,1,276,5115.0,rainfall_inches
Hurricane_Ike,ike,2011,2,277,5115.0,rainfall_inches
Hurricane_Ike,ike,2011,3,278,5115.0,rainfall_inches
Hurricane_Ike,ike,2011,4,336,5161.0,rainfall_inches
Hurricane_Ike,ike,2012,1,324,5161.0,rainfall_inches
Hurricane_Ike,ike,2012,2,356,5161.0,rainfall_inches
Hurricane_Ike,ike,2012,3,486,5161.0,rainfall_inches
Hurricane_Ike,ike,2012,4,547,5161.0,rainfall_inches
Hurricane_Ike,ike,2013,1,529,5161.0,rainfall_inches
Hurricane_Ike,ike,2013,2,605,5161.0,rainfall_inches
Hurricane_Ike,ike,2013,3,731,11210.0,rainfall_inches
Hurricane_Ike,ike,2013,4,736,10000.0,rainfall_inches
Hurricane_Ike,ike,2014,1,786,10000.0,rainfall_inches
Hurricane_Ike,ike,2014,2,760,10000.0,rainfall_inches
Hurricane_Ike,ike,2014,3,648,11210.0,rainfall_inches
Hurricane_Ike,ike,2014,4,850,10000.0,rainfall_inches
Hurricane_Ike,ike,2015,1,896,10000.0,rainfall_inches
Hurricane_Ike,ike,2015,2,595,10000.0,rainfall_inches
Hurricane_Ike,ike,2015,3,673,10000.0,rainfall_inches
Hurricane_Ike,ike,2015,4,604,10000.0,rainfall_inches
Hurricane_Ike,ike,2016,1,469,5115.0,rainfall_inches
Hurricane_Ike,ike,2016,2,390,5115.0,rainfall_inches
Hurricane_Ike,ike,2016,3,440,5115.0,rainfall_inches
Hurricane_Ike,ike,2016,4,774,10000.0,rainfall_inches
Hurricane_Ike,ike,2017,1,368,5115.0,rainfall_inches
Hurricane_Ike,ike,2017,2,324,5115.0,rainfall_inches
Hurricane_Ike,ike,2017,3,678,77530.0,rainfall_inches
Hurricane_Ike,ike,2017,4,247,4117.0,rainfall_inches
Hurricane_Ike,ike,2018,1,219,4117.0,rainfall_inches
Hurricane_Ike,ike,2018,2,217,4117.0,rainfall_inches
Hurricane_Ike,ike,2018,3,221,4117.0,rainfall_inches
Hurricane_Ike,ike,2018,4,183,3278.0,rainfall_inches
Hurricane_Ike,ike,2019,1,179,3278.0,rainfall_inches
Hurricane_Ike,ike,2019,2,577,10000.0,rainfall_inches
Hurricane_Ike,ike,2019,3,288,3278.0,rainfall_inches
Hurricane_Ike,ike,2019,4,85,3278.0,rainfall_inches
Hurricane_Ike,ike,2020,1,89,3000.0,rainfall_inches
Hurricane_Ike,ike,2020,2,56,416.0,rainfall_inches
Hurricane_Ike,ike,2020,3,69,630.19,rainfall_inches
Hurricane_Ike,ike,2020,4,73,416.0,rainfall_inches
Hurricane_Ike,ike,2021,1,46,576.63,rainfall_inches
Hurricane_Ike,ike,2021,2,49,576.63,rainfall_inches
Hurricane_Ike,ike,2021,3,36,576.63,rainfall_inches
Hurricane_Ike,ike,2021,4,61,576.63,rainfall_inches
Hurricane_Ike,ike,2022,1,131,6653.0,rainfall_inches
Hurricane_Ike,ike,2022,2,128,3459.0,rainfall_inches
Hurricane_Ike,ike,2022,3,9,576.63,rainfall_inches
Hurricane_Ike,ike,2022,4,7,576.63,rainfall_inches
Hurricane_Ike,ike,2023,1,8,576.63,rainfall_inches
Hurricane_Ike,ike,2023,2,26,576.63,rainfall_inches
Hurricane_Ike,ike,2023,3,3,576.63,rainfall_inches
Hurricane_Ike,ike,2023,4,20,3278.0,rainfall_inches
Hurricane_Ike,ike,2024,1,28,576.63,rainfall_inches
Hurricane_Ike,ike,2024,2,13,576.63,rainfall_inches
Hurricane_Ike,ike,2024,3,19,770.0,rainfall_inches
Hurricane_Ike,ike,2024,4,9,576.63,rainfall_inches
Hurricane_Ike,ike,2025,1,5,576.63,rainfall_inches
Hurricane_Ike,ike,2025,2,5,576.63,rainfall_inches
Hurricane_Ike,ike,2025,3,3,576.63,rainfall_inches
Hurricane_Rita1,rita1,2011,3,17,2088.0,rainfall_inches
Hurricane_Rita1,rita1,2011,4,4,2066.0,rainfall_inches
Hurricane_Rita1,rita1,2012,1,3,2066.0,rainfall_inches
Hurricane_Rita1,rita1,2012,2,3,2066.0,rainfall_inches
Hurricane_Rita1,rita1,2012,3,3,2066.0,rainfall_inches
Hurricane_Rita1,rita1,2015,2,1,0.0,rainfall_inches
Hurricane_Rita1,rita1,2015,3,1,0.0,rainfall_inches
Hurricane_Rita1,rita1,2016,3,3,2066.0,rainfall_inches
Hurricane_Rita1,rita1,2016,4,3,2066.0,rainfall_inches
Hurricane_Rita2,rita2,2011,3,9,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2011,4,5,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2012,1,4,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2012,2,5,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2012,3,4,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2012,4,3,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2013,1,4,849.0,rainfall_inches
Hurricane_Rita2,rita2,2013,2,5,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2013,3,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2013,4,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2014,1,5,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2014,2,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2014,3,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2014,4,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2015,1,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2015,2,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2015,3,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2015,4,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2016,1,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2016,2,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2016,3,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2016,4,6,1022.0,rainfall_inches
Hurricane_Rita2,rita2,2017,1,3,849.0,rainfall_inches
Hurricane_Rita2,rita2,2017,2,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2017,3,2,849.0,rainfall_inches
Hurricane_Rita2,rita2,2017,4,5,1022.0,rainfall_inches
Mitigation_ActionPlan,mit,2024,2,1,2012.0,rainfall_inches
Mitigation_ActionPlan,mit,2024,3,1,2012.0,rainfall_inches
Mitigation_ActionPlan,mit,2024,4,1,2012.0,rainfall_inches
Mitigation_ActionPlan,mit,2025,1,1,2012.0,rainfall_inches
Mitigation_ActionPlan,mit,2025,2,1,2012.0,rainfall_inches
Mitigation_ActionPlan,mit,2025,3,2,2012.0,rainfall_inches
Mitigation_ActionPlan,mit,2025,4,2,2012.0,rainfall_inches
Mitigation_Performance,mit,2021,1,1,330.0,rainfall_inches
Mitigation_Performance,mit,2021,2,1,0.0,rainfall_inches
Mitigation_Performance,mit,2024,2,2,2012.0,rainfall_inches
Mitigation_Performance,mit,2025,1,2,525.13,rainfall_inches
Mitigation_Performance,mit,2025,2,2,525.13,rainfall_inches
Mitigation_Performance,mit,2025,3,13,800.0,rainfall_inches
Wildfire_I,wf1,2013,3,3,999.0,rainfall_inches
Wildfire_I,wf1,2014,1,4,999.0,rainfall_inches
Wildfire_I,wf1,2014,2,4,999.0,rainfall_inches
Wildfire_I,wf1,2014,3,3,999.0,rainfall_inches
Wildfire_I,wf1,2014,4,3,999.0,rainfall_inches
Wildfire_I,wf1,2015,1,9,999.0,rainfall_inches
Wildfire_I,wf1,2015,2,6,999.0,rainfall_inches
Wildfire_I,wf1,2015,3,8,999.0,rainfall_inches
Wildfire_I,wf1,2015,4,11,999.0,rainfall_inches
Wildfire_I,wf1,2016,1,12,999.0,rainfall_inches
Wildfire_I,wf1,2016,2,12,999.0,rainfall_inches
Wildfire_I,wf1,2016,3,11,999.0,rainfall_inches
Wildfire_I,wf1,2016,4,12,999.0,rainfall_inches
Wildfire_I,wf1,2017,1,24,999.0,rainfall_inches
Wildfire_I,wf1,2017,2,22,737.5,rainfall_inches
Wildfire_I,wf1,2017,3,21,10.0,rainfall_inches
Wildfire_I,wf1,2017,4,22,10.0,rainfall_inches
Wildfire_I,wf1,2018,1,22,305.23,rainfall_inches
Wildfire_I,wf1,2018,2,21,10.0,rainfall_inches
Wildfire_I,wf1,2018,3,21,10.0,rainfall_inches
Wildfire_I,wf1,2018,4,21,10.0,rainfall_inches
Wildfire_I,wf1,2019,1,22,163.23,rainfall_inches
Wildfire_I,wf1,2019,2,21,10.0,rainfall_inches
Wildfire_I,wf1,2019,3,21,10.0,rainfall_inches
Wildfire_I,wf1,2019,4,21,10.0,rainfall_inches
Wildfire_I,wf1,2020,1,21,10.0,rainfall_inches
Wildfire_I,wf1,2020,2,22,10.0,rainfall_inches
Wildfire_I,wf1,2020,3,21,10.0,rainfall_inches
Wildfire_I,wf1,2020,4,21,10.0,rainfall_inches
Wildfire_I,wf1,2021,1,22,10.0,rainfall_inches
Wildfire_I,wf1,2021,3,23,2021.0,rainfall_inches
Wildfire_I,wf1,2021,4,21,10.0,rainfall_inches
Wildfire_I,wf1,2022,1,21,10.0,rainfall_inches
Wildfire_I,wf1,2022,2,21,10.0,rainfall_inches
Wildfire_I,wf1,2022,3,21,10.0,rainfall_inches
Wildfire_I,wf1,2022,4,21,10.0,rainfall_inches
Wildfire_I,wf1,2023,1,21,10.0,rainfall_inches
Wildfire_I,wf1,2023,2,21,10.0,rainfall_inches
Wildfire_I,wf1,2023,3,21,10.0,rainfall_inches
Wildfire_I,wf1,2023,4,21,10.0,rainfall_inches
Wildfire_I,wf1,2024,1,6,8.0,rainfall_inches
Wildfire_I,wf1,2025,1,6,8.0,rainfall_inches
2019_Disasters_ActionPlan,2019-disasters,2021,3,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2021,4,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2022,1,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2022,2,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2022,3,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2022,4,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2023,1,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2023,2,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2023,3,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2023,4,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2024,1,1,75.0,wind_speed_mph
2019_Disasters_ActionPlan,2019-disasters,2024,3,1,75.0,wind_speed_mph
