category,disaster_code,year,quarter,fema_number,n_mentions,n_documents
2018_Floods_ActionPlan,2018-south-texas-floods,2021,4,4377,3,1
2018_Floods_ActionPlan,2018-south-texas-floods,2022,1,4377,2,1
2018_Floods_ActionPlan,2018-south-texas-floods,2022,2,4377,2,1
2018_Floods_ActionPlan,2018-floods,2022,3,4377,2,1
2018_Floods_ActionPlan,2018-floods,2022,4,4377,2,1
2018_Floods_ActionPlan,2018-floods,2023,1,4377,2,1
2018_Floods_ActionPlan,2018-floods,2023,2,4377,1,1
2018_Floods_ActionPlan,2018-floods,2023,3,4377,1,1
2018_Floods_ActionPlan,2018-floods,2023,4,4377,1,1
2018_Floods_ActionPlan,2018-floods,2024,1,4377,1,1
2018_Floods_ActionPlan,2018-floods,2024,2,4377,1,1
2018_Floods_ActionPlan,2018-floods,2024,3,4377,1,1
2018_Floods_ActionPlan,2018-floods,2024,4,4377,1,1
2018_Floods_ActionPlan,2018-floods,2025,1,4377,1,1
2018_Floods_ActionPlan,2018-floods,2025,2,4377,1,1
2018_Floods_ActionPlan,2018-floods,2025,3,4377,1,1
2018_Floods_ActionPlan,2018-floods,2025,4,4377,1,1
2018_Floods_Performance,2018-floods,2021,3,4377,2,1
2018_Floods_Performance,2018-floods,2021,4,4377,3,1
2018_Floods_Performance,2018-floods,2022,1,4377,2,1
2018_Floods_Performance,2018-floods,2022,2,4377,2,1
2018_Floods_Performance,2018-floods,2022,3,4377,3,1
2018_Floods_Performance,2018-floods,2022,4,4377,3,1
2018_Floods_Performance,2018-floodsgrantreport,2023,1,4377,2,1
2018_Floods_Performance,2018-floods,2023,2,4377,2,1
2018_Floods_Performance,2018-floods,2023,3,4377,2,1
2018_Floods_Performance,2018-floods,2023,4,4377,2,1
2018_Floods_Performance,2018-floods,2024,1,4377,2,1
2018_Floods_Performance,2018-floods,2024,2,4377,2,1
2018_Floods_Performance,2018-floods,2024,3,4377,2,1
2018_Floods_Performance,2018-floods,2024,4,4377,2,1
2018_Floods_Performance,2018-floods,2025,1,4377,2,1
2018_Floods_Performance,2018-floods,2025,2,4377,2,1
2018_Floods_Performance,2018-floods,2025,3,4377,2,1
2019_Disasters_ActionPlan,2019-disasters,2021,3,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2021,3,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2021,4,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2021,4,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,1,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,1,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,2,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,2,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,3,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,3,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,4,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2022,4,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2023,1,4454,2,1
2019_Disasters_ActionPlan,2019-disasters,2023,1,4466,2,1
2019_Disasters_ActionPlan,2019-disasters,2023,2,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2023,2,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2023,3,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2023,3,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2023,4,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2023,4,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2024,1,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2024,1,4466,1,1
2019_Disasters_ActionPlan,2018-floods,2024,2,4377,1,1
2019_Disasters_ActionPlan,2019-disasters,2024,3,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2024,3,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2024,4,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2024,4,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2025,2,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2025,2,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2025,3,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2025,3,4466,1,1
2019_Disasters_ActionPlan,2019-disasters,2025,4,4454,1,1
2019_Disasters_ActionPlan,2019-disasters,2025,4,4466,1,1
2019_Disasters_Performance,2019-disasters,2021,2,4454,2,1
2019_Disasters_Performance,2019-disasters,2021,2,4466,1,1
2019_Disasters_Performance,2019-disasters,2021,3,4454,2,1
2019_Disasters_Performance,2019-disasters,2021,3,4466,1,1
2019_Disasters_Performance,2019-disasters,2021,4,4454,2,1
2019_Disasters_Performance,2019-disasters,2021,4,4466,1,1
2019_Disasters_Performance,2019-disasters,2022,1,4454,2,1
2019_Disasters_Performance,2019-disasters,2022,1,4466,1,1
2019_Disasters_Performance,2019-disasters,2022,2,4454,2,1
2019_Disasters_Performance,2019-disasters,2022,2,4466,1,1
2019_Disasters_Performance,2019-disasters,2022,3,4454,3,1
2019_Disasters_Performance,2019-disasters,2022,3,4466,2,1
2019_Disasters_Performance,2019-disasters,2022,4,4454,3,1
2019_Disasters_Performance,2019-disasters,2022,4,4466,2,1
2019_Disasters_Performance,2019-disastersgrantreport,2023,1,4454,2,1
2019_Disasters_Performance,2019-disastersgrantreport,2023,1,4466,1,1
2019_Disasters_Performance,2019-disasters,2023,2,4454,2,1
2019_Disasters_Performance,2019-disasters,2023,2,4466,1,1
2019_Disasters_Performance,2019-disasters,2023,3,4454,2,1
2019_Disasters_Performance,2019-disasters,2023,3,4466,1,1
2019_Disasters_Performance,2019-disasters,2023,4,4454,2,1
2019_Disasters_Performance,2019-disasters,2023,4,4466,1,1
2019_Disasters_Performance,2019-disasters,2024,1,4454,2,1
2019_Disasters_Performance,2019-disasters,2024,1,4466,1,1
2019_Disasters_Performance,2019-disasters,2024,2,4454,2,1
2019_Disasters_Performance,2019-disasters,2024,2,4466,1,1
2019_Disasters_Performance,2019-disasters,2024,3,4454,2,1
2019_Disasters_Performance,2019-disasters,2024,3,4466,1,1
2019_Disasters_Performance,2019-disasters,2024,4,4454,2,1
2019_Disasters_Performance,2019-disasters,2024,4,4466,1,1
2019_Disasters_Performance,2019-disasters,2025,1,4454,2,1
2019_Disasters_Performance,2019-disasters,2025,1,4466,1,1
2019_Disasters_Performance,2019-disasters,2025,2,4454,2,1
2019_Disasters_Performance,2019-disasters,2025,2,4466,1,1
2019_Disasters_Performance,2019-disasters,2025,3,4454,2,1
2019_Disasters_Performance,2019-disasters,2025,3,4466,1,1
2024_Disasters,2024-disasters,2025,4,4781,1,1
2024_Disasters,2024-disasters,2025,4,4798,1,1
Harvey_57M_ActionPlan,hh57m-ap,2021,3,4332,1,1
Harvey_57M_ActionPlan,hh57m-ap,2021,4,4332,1,1
Harvey_57M_ActionPlan,hh57m-ap,2022,1,4332,1,1
Harvey_57M_ActionPlan,hh57m-ap,2022,2,4332,1,1
Harvey_57M_ActionPlan,hh57m,2022,3,4332,1,1
Harvey_57M_ActionPlan,hh57m,2022,4,4332,1,1
Harvey_57M_ActionPlan,hh57m,2023,1,4332,1,1
Harvey_57M_ActionPlan,hh57m,2023,2,4332,1,1
Harvey_57M_ActionPlan,hh57m,2023,3,4332,1,1
Harvey_57M_ActionPlan,hh57m,2023,4,4332,1,1
Harvey_57M_ActionPlan,hh57m,2024,1,4332,1,1
Harvey_57M_ActionPlan,hh57m,2024,2,4332,1,1
Harvey_57M_ActionPlan,hh57m,2024,3,4332,1,1
Harvey_57M_ActionPlan,hh57m,2024,4,4332,1,1
Harvey_57M_ActionPlan,hh57m,2025,1,4332,1,1
Harvey_57M_ActionPlan,hh57m,2025,2,4332,1,1
Harvey_57M_ActionPlan,hh57m,2025,3,4332,1,1
Harvey_57M_ActionPlan,hh57m,2025,4,4332,1,1
Harvey_57M_Performance,hh57m,2018,3,4332,1,1
Harvey_57M_Performance,hh57m,2018,4,4332,1,1
Harvey_57M_Performance,hh57m,2019,2,4332,1,1
Harvey_57M_Performance,hh57m,2019,3,4332,1,1
Harvey_57M_Performance,hh57m,2019,4,4332,1,1
Harvey_57M_Performance,hh57m,2020,1,4332,1,1
Harvey_57M_Performance,hh57m,2020,2,4332,1,1
Harvey_57M_Performance,hh57m,2020,3,4332,1,1
Harvey_57M_Performance,hh57m,2020,4,4332,1,1
Harvey_57M_Performance,hh57m,2021,1,4332,1,1
Harvey_57M_Performance,hh57m,2021,2,4332,1,1
Harvey_57M_Performance,hh57m,2021,3,4332,2,1
Harvey_57M_Performance,hh57m,2021,4,4332,2,1
Harvey_57M_Performance,hh57m,2022,1,4332,2,1
Harvey_57M_Performance,hh57m,2022,2,4332,2,1
Harvey_57M_Performance,hh57m,2022,3,4332,2,1
Harvey_57M_Performance,hh57m,2022,4,4332,2,1
Harvey_57M_Performance,hh57m,2023,1,4332,2,1
Harvey_57M_Performance,hh57m,2023,2,4332,2,1
Harvey_57M_Performance,hh57m,2023,3,4332,2,1
Harvey_57M_Performance,hh57m,2024,1,4332,2,1
Harvey_57M_Performance,hh57m,2024,2,4332,1,1
Harvey_57M_Performance,hh57m,2024,3,4332,1,1
Harvey_57M_Performance,hh57m,2024,4,4332,2,1
Harvey_57M_Performance,hh57m,2025,1,4332,2,1
Harvey_57M_Performance,hh57m,2025,3,4332,2,1
Harvey_5B_Performance,hh5b,2018,3,4332,1,1
Harvey_5B_Performance,h5b,2018,4,4332,1,1
Harvey_5B_Performance,h5b,2019,1,4332,1,1
Harvey_5B_Performance,h5b,2019,2,4332,1,1
Harvey_5B_Performance,h5b,2019,3,4332,1,1
Harvey_5B_Performance,h5b,2019,4,4332,1,1
Harvey_5B_Performance,h5b,2020,1,4332,1,1
Harvey_5B_Performance,h5b,2020,2,4332,1,1
Harvey_5B_Performance,h5b,2020,3,4332,1,1
Harvey_5B_Performance,h5b,2020,4,4332,1,1
Harvey_5B_Performance,h5b,2021,1,4332,1,1
Harvey_5B_Performance,h5b,2021,2,4332,1,1
Harvey_5B_Performance,h5b,2021,3,4332,1,1
Harvey_5B_Performance,h5b,2021,4,4332,1,1
Harvey_5B_Performance,h5b,2022,1,4332,1,1
Harvey_5B_Performance,h5b,2022,2,4332,1,1
Harvey_5B_Performance,h5b,2022,3,4332,1,1
Harvey_5B_Performance,h5b,2022,4,4332,1,1
Harvey_5B_Performance,harveygrantperformance,2023,1,4332,1,1
Harvey_5B_Performance,h5b,2023,2,4332,1,1
Harvey_5B_Performance,h5b,2023,3,4332,1,1
Harvey_5B_Performance,h5b,2023,4,4332,1,1
Harvey_5B_Performance,h5b,2024,1,4332,1,1
Harvey_5B_Performance,h5b,2024,2,4332,1,1
Harvey_5B_Performance,h5b,2024,4,4332,1,1
Harvey_5B_Performance,h5b,2025,1,4332,1,1
Harvey_5B_Performance,h5b,2025,2,4332,1,1
Harvey_5B_Performance,h5b,2025,3,4332,1,1
Hurricane_Ike,ike,2009,3,1780,1,1
Hurricane_Ike,ike,2009,3,1791,1,1
Hurricane_Ike,ike,2009,4,1780,1,1
Hurricane_Ike,ike,2009,4,1791,1,1
Hurricane_Ike,ike,2010,1,1780,1,1
Hurricane_Ike,ike,2010,1,1791,1,1
Hurricane_Ike,ike,2010,2,1780,1,1
Hurricane_Ike,ike,2010,2,1791,1,1
Hurricane_Ike,ike,2010,3,1780,1,1
Hurricane_Ike,ike,2010,3,1791,1,1
Hurricane_Ike,ike,2010,4,1780,1,1
Hurricane_Ike,ike,2010,4,1791,2,1
Hurricane_Ike,ike,2010,4,3294,1,1
Hurricane_Ike,ike,2011,1,1780,1,1
Hurricane_Ike,ike,2011,1,1791,2,1
Hurricane_Ike,ike,2011,1,3294,1,1
Hurricane_Ike,ike,2011,2,1780,1,1
Hurricane_Ike,ike,2011,2,1791,2,1
Hurricane_Ike,ike,2011,2,3294,1,1
Hurricane_Ike,ike,2011,3,1780,1,1
Hurricane_Ike,ike,2011,3,1791,1,1
Hurricane_Ike,ike,2011,4,1780,1,1
Hurricane_Ike,ike,2011,4,1791,2,1
Hurricane_Ike,ike,2011,4,3294,1,1
Hurricane_Ike,ike,2012,1,1780,1,1
Hurricane_Ike,ike,2012,1,1791,2,1
Hurricane_Ike,ike,2012,1,3294,1,1
Hurricane_Ike,ike,2012,2,1780,1,1
Hurricane_Ike,ike,2012,2,1791,2,1
Hurricane_Ike,ike,2012,2,3294,1,1
Hurricane_Ike,ike,2012,3,1791,1,1
Hurricane_Ike,ike,2012,3,3294,1,1
Hurricane_Ike,ike,2012,4,1791,1,1
Hurricane_Ike,ike,2012,4,3294,1,1
Hurricane_Ike,ike,2013,3,1791,1,1
Hurricane_Ike,ike,2013,3,3294,1,1
Hurricane_Ike,ike,2013,4,1791,1,1
Hurricane_Ike,ike,2013,4,3294,1,1
Hurricane_Ike,ike,2014,1,1791,1,1
Hurricane_Ike,ike,2014,1,3294,1,1
Hurricane_Ike,ike,2014,2,1791,1,1
Hurricane_Ike,ike,2014,2,3294,1,1
Hurricane_Ike,ike,2014,3,1791,1,1
Hurricane_Ike,ike,2014,3,3294,1,1
Hurricane_Ike,ike,2014,4,1791,1,1
Hurricane_Ike,ike,2014,4,3294,1,1
Hurricane_Ike,ike,2015,1,1791,1,1
Hurricane_Ike,ike,2015,1,3294,1,1
Hurricane_Ike,ike,2015,2,1791,1,1
Hurricane_Ike,ike,2015,2,3294,1,1
Hurricane_Ike,ike,2017,2,1791,1,1
Hurricane_Ike,ike,2017,2,3294,1,1
Hurricane_Ike,ike,2018,2,1791,1,1
Hurricane_Ike,ike,2019,2,1791,1,1
Hurricane_Ike,ike,2019,3,1791,1,1
Hurricane_Ike,ike,2019,4,1791,1,1
Hurricane_Ike,ike,2020,1,1791,1,1
Hurricane_Ike,ike,2021,1,1791,1,1
Hurricane_Ike,ike,2021,2,1791,1,1
Hurricane_Ike,ike,2021,3,1791,1,1
Hurricane_Ike,ike,2021,4,1791,1,1
Hurricane_Ike,ike,2022,1,1791,1,1
Hurricane_Ike,ike,2022,2,1791,1,1
Hurricane_Ike,ike,2022,3,1791,1,1
Hurricane_Ike,ike,2022,4,1791,1,1
Hurricane_Ike,ike,2023,1,1791,1,1
Hurricane_Ike,ike,2023,2,1791,1,1
Hurricane_Ike,ike,2023,3,1791,1,1
Hurricane_Ike,ike,2023,4,1791,1,1
Hurricane_Ike,ike,2024,1,1791,1,1
Hurricane_Ike,ike,2024,2,1791,1,1
Hurricane_Ike,ike,2024,3,1791,1,1
Hurricane_Ike,ike,2024,4,1791,1,1
Hurricane_Ike,ike,2025,1,1791,1,1
Hurricane_Ike,ike,2025,2,1791,1,1
Hurricane_Ike,ike,2025,3,1791,1,1
Hurricane_Rita1,rita1,2011,4,1606,1,1
Hurricane_Rita1,rita1,2012,1,1606,1,1
Hurricane_Rita1,rita1,2012,2,1606,1,1
Hurricane_Rita1,rita1,2012,4,1606,1,1
Hurricane_Rita1,rita1,2013,1,1606,1,1
Hurricane_Rita1,rita1,2013,2,1606,1,1
Hurricane_Rita1,rita1,2013,3,1606,1,1
Hurricane_Rita1,rita1,2013,4,1606,1,1
Hurricane_Rita1,rita1,2014,1,1606,1,1
Hurricane_Rita1,rita1,2014,2,1606,1,1
Hurricane_Rita1,rita1,2014,3,1606,1,1
Hurricane_Rita1,rita1,2014,4,1606,1,1
Hurricane_Rita1,rita1,2015,1,1606,1,1
Hurricane_Rita1,rita1,2015,2,1606,1,1
Hurricane_Rita1,rita1,2015,3,1606,1,1
Hurricane_Rita1,rita1,2015,4,1606,1,1
Hurricane_Rita1,rita1,2016,1,1606,1,1
Hurricane_Rita1,rita1,2016,2,1606,1,1
Hurricane_Rita1,rita1,2016,3,1606,1,1
Hurricane_Rita1,rita1,2016,4,1606,1,1
Hurricane_Rita2,rita2,2011,4,1606,1,1
Hurricane_Rita2,rita2,2012,1,1606,1,1
Hurricane_Rita2,rita2,2012,2,1606,1,1
Hurricane_Rita2,rita2,2012,4,1606,1,1
Hurricane_Rita2,rita2,2013,1,1606,1,1
Hurricane_Rita2,rita2,2013,2,1606,1,1
Hurricane_Rita2,rita2,2013,3,1606,1,1
Hurricane_Rita2,rita2,2013,4,1606,1,1
Hurricane_Rita2,rita2,2014,1,1606,1,1
Hurricane_Rita2,rita2,2014,2,1606,1,1
Hurricane_Rita2,rita2,2014,3,1606,1,1
Hurricane_Rita2,rita2,2014,4,1606,1,1
Hurricane_Rita2,rita2,2015,1,1606,1,1
Hurricane_Rita2,rita2,2015,2,1606,1,1
Hurricane_Rita2,rita2,2015,3,1606,1,1
Hurricane_Rita2,rita2,2015,4,1606,1,1
Hurricane_Rita2,rita2,2016,1,1606,1,1
Hurricane_Rita2,rita2,2016,2,1606,1,1
Hurricane_Rita2,rita2,2016,3,1606,1,1
Hurricane_Rita2,rita2,2016,4,1606,1,1
Hurricane_Rita2,rita2,2017,1,1606,1,1
Hurricane_Rita2,rita2,2017,2,1606,1,1
Hurricane_Rita2,rita2,2017,3,1606,1,1
Hurricane_Rita2,rita2,2017,4,1606,1,1
Mitigation_Performance,mit,2021,1,4223,1,1
Mitigation_Performance,mit,2021,1,4245,1,1
Mitigation_Performance,mit,2021,1,4266,1,1
Mitigation_Performance,mit,2021,1,4269,1,1
Mitigation_Performance,mit,2021,1,4272,1,1
Mitigation_Performance,mit,2021,1,4332,1,1
Mitigation_Performance,mit,2021,2,4223,1,1
Mitigation_Performance,mit,2021,2,4245,1,1
Mitigation_Performance,mit,2021,2,4266,1,1
Mitigation_Performance,mit,2021,2,4269,1,1
Mitigation_Performance,mit,2021,2,4272,1,1
Mitigation_Performance,mit,2021,2,4332,1,1
Mitigation_Performance,mit,2021,3,4223,1,1
Mitigation_Performance,mit,2021,3,4245,1,1
Mitigation_Performance,mit,2021,3,4266,1,1
Mitigation_Performance,mit,2021,3,4269,1,1
Mitigation_Performance,mit,2021,3,4272,1,1
Mitigation_Performance,mit,2021,3,4332,1,1
Mitigation_Performance,mit,2021,3,4377,1,1
Mitigation_Performance,mit,2021,4,4223,1,1
Mitigation_Performance,mit,2021,4,4245,1,1
Mitigation_Performance,mit,2021,4,4266,1,1
Mitigation_Performance,mit,2021,4,4269,1,1
Mitigation_Performance,mit,2021,4,4272,1,1
Mitigation_Performance,mit,2021,4,4332,1,1
Mitigation_Performance,mit,2021,4,4377,1,1
Mitigation_Performance,mit,2022,1,4223,1,1
Mitigation_Performance,mit,2022,1,4245,1,1
Mitigation_Performance,mit,2022,1,4266,1,1
Mitigation_Performance,mit,2022,1,4269,1,1
Mitigation_Performance,mit,2022,1,4272,1,1
Mitigation_Performance,mit,2022,1,4332,1,1
Mitigation_Performance,mit,2022,1,4377,1,1
Mitigation_Performance,mit,2022,2,4223,1,1
Mitigation_Performance,mit,2022,2,4245,1,1
Mitigation_Performance,mit,2022,2,4266,1,1
Mitigation_Performance,mit,2022,2,4269,1,1
Mitigation_Performance,mit,2022,2,4272,1,1
Mitigation_Performance,mit,2022,2,4332,1,1
Mitigation_Performance,mit,2022,2,4377,1,1
Mitigation_Performance,mit,2022,3,4223,1,1
Mitigation_Performance,mit,2022,3,4245,1,1
Mitigation_Performance,mit,2022,3,4266,1,1
Mitigation_Performance,mit,2022,3,4269,1,1
Mitigation_Performance,mit,2022,3,4272,1,1
Mitigation_Performance,mit,2022,3,4332,1,1
Mitigation_Performance,mit,2022,3,4377,1,1
Mitigation_Performance,mit,2022,4,4223,1,1
Mitigation_Performance,mit,2022,4,4245,1,1
Mitigation_Performance,mit,2022,4,4266,1,1
Mitigation_Performance,mit,2022,4,4269,1,1
