year,quarter,quarter_label,bertopic_topic_id,n_paragraphs,n_unique_paragraphs,n_pdfs
2023,1,Q1 2023,0,1,1,1
2023,2,Q2 2023,0,1,1,1
2023,3,Q3 2023,0,1,1,1
2023,4,Q4 2023,0,1,1,1
2024,1,Q1 2024,0,1,1,1
2024,2,Q2 2024,0,1,1,1
2024,3,Q3 2024,0,1,1,1
2024,4,Q4 2024,0,1,1,1
2025,1,Q1 2025,0,1,1,1
2025,2,Q2 2025,0,1,1,1
2025,3,Q3 2025,0,1,1,1
2025,4,Q4 2025,0,1,1,1
