entity_text,mentions
Hurricane Ike,23933
Hurricane Harvey,13213
Ike,7264
Hurricane Dolly,3431
Hurricane Rita,724
Tropical Storm Imelda,650
Rita,446
Harvey,394
Imelda,268
hurricane Ike,105
Hurricane Katrina,63
IKE,41
Hurricane Patricia,33
ike,32
Tropical Storm Lee,14
Hurricane Creek,13
Hurricane Location,12
hurricane Rita,11
Hurricane Disaster,9
Hurricane Beryl,7
Hurricane Evacuees,5
Tropical Storm Total,4
Hurricane Imelda,2
HARVEY,2
