Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type,Population,Population_scaled,Severity_Index,Severity_Index_scaled,Experience_Index,Experience_Index_scaled
"Houston, TX",0.5570408758773331,0.962666183758458,,,0.5370534652222716,0.2464032019165076,,1.4273921416649356,0.5958968776111003,22.5,0.0245606396301275,0.0909027654318556,0.8181818181818182,0.0,0.0254529150218454,local,2101234.722222222,-0.4126648885100161,5.13,-0.5861112888421697,0.1487,0.165579489345484
"San Marcos, TX",0.8360726253133945,0.9577283316166127,0.0104031209362808,96.125,0.805680794437288,0.3100079694736285,4.565649427825808,1.1128217491039991,0.5619632281426992,24.0,0.0354613490097363,0.0911745005581341,0.78125,0.0,0.0371255299368655,local,46412.5,-0.7161031790833686,5.13,-0.5861112888421697,0.1425,0.1167464927346333
Texas - GLO,0.7383238184942637,0.979449439412133,0.0068652023300472,147.19407894736844,0.7301976346001748,0.271979325359612,4.986520874222752,0.9685756542687431,0.488981091646948,30.75,0.0262715656340348,0.0234998375148802,0.6057846749811036,0.125,0.0273154348512024,state,24858053.666666668,2.947864389746312,6.264285714285714,0.8753541859827642,0.497075,2.9094819400398495
