entity_text,mentions
DR-4029,82
FEMA-4272,76
FEMA-4332,72
DR-4245,66
FEMA-1791,53
FEMA-4245,48
FEMA-4223,48
DR-4377,48
FEMA-4269,47
FEMA-4266,47
FEMA-4029,45
DR-4466,43
DR-4454,43
DR-1606,42
FEMA-4377,34
DR-4332,32
FEMA-4454,18
FEMA-3294,17
DR-4223,16
FEMA-1780,12
FEMA-1606,2
DR-4798,1
DR-4781,1
