panel,column,rows,non_null_rows,non_zero_rows,pct_non_null,pct_non_zero
panel_county_quarter_sem,sum_expended_usd,5419,5419,3405,100.0,62.83
panel_county_quarter_sem,admin_activity_count,5419,505,505,9.32,9.32
panel_county_quarter_sem,admin_activity_budget_usd,5419,505,390,9.32,7.2
panel_county_quarter_sem,admin_activity_obligated_usd,5419,505,152,9.32,2.8
panel_county_quarter_sem,admin_activity_drawdown_usd,5419,505,393,9.32,7.25
panel_county_quarter_sem,admin_activity_expended_usd,5419,505,369,9.32,6.81
panel_county_quarter_sem,outcome_persons_total_actual,5419,189,166,3.49,3.06
panel_county_quarter_sem,outcome_persons_total_expected,5419,191,189,3.52,3.49
panel_county_quarter_sem,outcome_households_total_actual,5419,178,163,3.28,3.01
panel_county_quarter_sem,outcome_households_total_expected,5419,181,170,3.34,3.14
panel_county_quarter_sem,outcome_owner_households_total_actual,5419,0,0,0.0,0.0
panel_county_quarter_sem,outcome_owner_households_total_expected,5419,5,2,0.09,0.04
panel_county_quarter_sem,outcome_renter_households_total_actual,5419,0,0,0.0,0.0
panel_county_quarter_sem,outcome_renter_households_total_expected,5419,2,0,0.04,0.0
panel_county_quarter_sem,outcome_jobs_created_total_actual,5419,0,0,0.0,0.0
panel_county_quarter_sem,outcome_jobs_created_total_expected,5419,1,0,0.02,0.0
panel_county_quarter_sem,outcome_jobs_retained_total_actual,5419,0,0,0.0,0.0
panel_county_quarter_sem,outcome_jobs_retained_total_expected,5419,0,0,0.0,0.0
panel_county_quarter_sem,outcome_housing_units_total_actual,5419,0,0,0.0,0.0
panel_county_quarter_sem,outcome_housing_units_total_expected,5419,5,3,0.09,0.06
panel_county_quarter_sem,sem_signal_count,5419,173,173,3.19,3.19
panel_county_quarter_sem,sem_signal_confidence_mean,5419,173,173,3.19,3.19
panel_county_quarter_sem,admin_staff_count_sum,5419,1,1,0.02,0.02
panel_county_quarter_sem,admin_staff_count_n_obs,5419,1,1,0.02,0.02
panel_county_quarter_sem,admin_staff_count_confidence_mean,5419,1,1,0.02,0.02
panel_county_quarter_sem,admin_payroll_usd_sum,5419,105,105,1.94,1.94
panel_county_quarter_sem,admin_payroll_usd_n_obs,5419,105,105,1.94,1.94
panel_county_quarter_sem,admin_payroll_usd_confidence_mean,5419,105,105,1.94,1.94
panel_county_quarter_sem,affected_population_persons_sum,5419,5,5,0.09,0.09
panel_county_quarter_sem,affected_population_persons_n_obs,5419,5,5,0.09,0.09
panel_county_quarter_sem,affected_population_persons_confidence_mean,5419,5,5,0.09,0.09
panel_county_quarter_sem,affected_population_households_sum,5419,3,3,0.06,0.06
panel_county_quarter_sem,affected_population_households_n_obs,5419,3,3,0.06,0.06
panel_county_quarter_sem,affected_population_households_confidence_mean,5419,3,3,0.06,0.06
panel_county_quarter_sem,severity_deaths_count_sum,5419,29,29,0.54,0.54
panel_county_quarter_sem,severity_deaths_count_n_obs,5419,29,29,0.54,0.54
panel_county_quarter_sem,severity_deaths_count_confidence_mean,5419,29,29,0.54,0.54
panel_county_quarter_sem,severity_economic_loss_usd_sum,5419,0,0,0.0,0.0
panel_county_quarter_sem,severity_economic_loss_usd_n_obs,5419,0,0,0.0,0.0
panel_county_quarter_sem,severity_economic_loss_usd_confidence_mean,5419,0,0,0.0,0.0
panel_county_quarter_sem,severity_property_damage_usd_sum,5419,0,0,0.0,0.0
panel_county_quarter_sem,severity_property_damage_usd_n_obs,5419,0,0,0.0,0.0
panel_county_quarter_sem,severity_property_damage_usd_confidence_mean,5419,0,0,0.0,0.0
panel_county_quarter_sem,severity_unmet_need_usd_sum,5419,63,63,1.16,1.16
panel_county_quarter_sem,severity_unmet_need_usd_n_obs,5419,63,63,1.16,1.16
panel_county_quarter_sem,severity_unmet_need_usd_confidence_mean,5419,63,63,1.16,1.16
panel_city_quarter_sem,programs_total,35673,35673,35673,100.0,100.0
panel_city_quarter_sem,programs_completed,35673,35653,3410,99.94,9.56
panel_city_quarter_sem,programs_in_progress,35673,35653,32141,99.94,90.1
panel_city_quarter_sem,programs_cancelled,35673,35653,397,99.94,1.11
panel_city_quarter_sem,program_completion_rate,35673,35653,3410,99.94,9.56
panel_city_quarter_sem,program_duration_quarters_mean,35673,723,723,2.03,2.03
panel_city_quarter_sem,program_duration_quarters_n_obs,35673,35673,723,100.0,2.03
panel_city_quarter_sem,sum_budget_usd,35673,35673,22856,100.0,64.07
panel_city_quarter_sem,sum_obligated_usd,35673,35673,9139,100.0,25.62
panel_city_quarter_sem,sum_drawdown_usd,35673,35673,25926,100.0,72.68
panel_city_quarter_sem,sum_expended_usd,35673,35673,25313,100.0,70.96
panel_city_quarter_sem,admin_activity_count,35673,764,764,2.14,2.14
panel_city_quarter_sem,admin_activity_budget_usd,35673,764,567,2.14,1.59
panel_city_quarter_sem,admin_activity_obligated_usd,35673,764,160,2.14,0.45
panel_city_quarter_sem,admin_activity_drawdown_usd,35673,764,594,2.14,1.67
panel_city_quarter_sem,admin_activity_expended_usd,35673,764,554,2.14,1.55
panel_city_quarter_sem,outcome_persons_total_actual,35673,1119,1046,3.14,2.93
panel_city_quarter_sem,outcome_persons_total_expected,35673,1129,1119,3.16,3.14
panel_city_quarter_sem,outcome_households_total_actual,35673,664,567,1.86,1.59
panel_city_quarter_sem,outcome_households_total_expected,35673,673,645,1.89,1.81
panel_city_quarter_sem,outcome_owner_households_total_actual,35673,0,0,0.0,0.0
panel_city_quarter_sem,outcome_owner_households_total_expected,35673,7,2,0.02,0.01
panel_city_quarter_sem,outcome_renter_households_total_actual,35673,0,0,0.0,0.0
panel_city_quarter_sem,outcome_renter_households_total_expected,35673,4,0,0.01,0.0
panel_city_quarter_sem,outcome_jobs_created_total_actual,35673,0,0,0.0,0.0
panel_city_quarter_sem,outcome_jobs_created_total_expected,35673,1,0,0.0,0.0
panel_city_quarter_sem,outcome_jobs_retained_total_actual,35673,0,0,0.0,0.0
panel_city_quarter_sem,outcome_jobs_retained_total_expected,35673,0,0,0.0,0.0
