category,disaster_code,year,quarter,city,county_fips3,county_name,unit_level,unit_id,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_payroll_usd_sum,admin_payroll_usd_n_obs,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_households_sum,affected_population_households_n_obs,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,ratio_disbursed_to_obligated,ratio_expended_to_disbursed,duration_of_completion,timeliness,progress_rate,signal_density,has_admin_staff_signal,has_admin_payroll_signal,has_deaths_signal,has_unmet_need_signal
Hurricane_Ike,ike,2012,1,Permanently-affixed,185.0,Grimes County,city,Hurricane_Ike|ike|Permanently-affixed|185.0,,3,0.0,3.0,0.0,0.0,,0,303650.0,31458.94,302450.0,137887.62,,,,,,,,,,,,,,,,,,,,,,,,,,9.614119229700684,0.45590219871053067,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed,201.0,Harris County,city,Hurricane_Ike|ike|Permanently-affixed|201.0,,6,0.0,6.0,0.0,0.0,,0,3756780.0,96389.99,3747780.0,1260811.48,,,,,,,,,,,,,,,,,,,,,,,,,,38.88142326812151,0.3364155526738496,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed,249.0,Jim Wells County,city,Hurricane_Ike|ike|Permanently-affixed|249.0,,1,0.0,1.0,0.0,0.0,,0,120243.0,3278.76,119743.0,23431.63,,,,,,,,,,,,,,,,,,,,,,,,,,36.520818846149155,0.1956826703857428,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed,373.0,Polk County,city,Hurricane_Ike|ike|Permanently-affixed|373.0,,1,0.0,1.0,0.0,0.0,,0,200484.0,0.0,199784.0,57218.82,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28640341568894406,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed,395.0,Robertson County,city,Hurricane_Ike|ike|Permanently-affixed|395.0,,1,0.0,1.0,0.0,0.0,,0,592216.0,0.0,592216.0,499552.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.843531245356424,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed,419.0,Shelby County,city,Hurricane_Ike|ike|Permanently-affixed|419.0,,1,0.0,1.0,0.0,0.0,,0,561563.0,17913.18,561563.0,137900.2,,,,,,,,,,,,,,,,,,,,,,,,,,31.349151853551408,0.2455649677774355,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed,489.0,Willacy County,city,Hurricane_Ike|ike|Permanently-affixed|489.0,,1,0.0,1.0,0.0,0.0,,0,203790.0,0.0,203790.0,89622.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43977844840276753,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed Emergency Generator With Transfer Switch,201.0,Harris County,city,Hurricane_Ike|ike|Permanently-affixed Emergency Generator With Transfer Switch|201.0,,1,0.0,1.0,0.0,0.0,,0,165221.0,0.0,165221.0,165221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed Generator,201.0,Harris County,city,Hurricane_Ike|ike|Permanently-affixed Generator|201.0,,1,0.0,1.0,0.0,0.0,,0,0.0,176.59,55000.0,55000.0,,,,,,,,,,,,,,,,,,,,,,,,,,311.4559148309644,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixed Generator With Transfer Switch,201.0,Harris County,city,Hurricane_Ike|ike|Permanently-affixed Generator With Transfer Switch|201.0,,1,0.0,1.0,0.0,0.0,,0,519830.0,0.0,519670.0,519670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Permanently-affixedgenerators With Transfer Switch,201.0,Harris County,city,Hurricane_Ike|ike|Permanently-affixedgenerators With Transfer Switch|201.0,,1,0.0,1.0,0.0,0.0,,0,1102193.02,7315.1,1100946.0,1100946.0,,,,,,,,,,,,,,,,,,,,,,,,,,150.50320569780317,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Persons,201.0,Harris County,city,Hurricane_Ike|ike|Persons|201.0,,1,0.0,1.0,0.0,0.0,,0,116166.0,47393.56,116166.0,63233.71,,,,,,,,,,,,,,,,,,,,,,,,,,2.451092511303224,0.5443392214589466,,,0.0,,False,False,False,False
