group,n,CFI,RMSEA,beta,pvalue
state,36,0.9587253808628902,0.25247086225601895,2.1635029434118116,4.5421737948636576e-07
local,29,1.0341144744687607,0.0,2.0528426735898964,0.024968505292935594
pooled,65,1.0089862369056335,0.0,2.297240084417603,
