Grantee,Disaster_Type,Program_Type,N_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Ratio_disbursed_to_obligated,Ratio_expended_to_obligated,Ratio_expended_to_disbursed
Texas - GLO,2016 Louisiana Floods and Other Events,Housing,26,75181949.25,62298969.68000001,62217323.44,0.8286426502835055,0.8275566683315277,0.9986894447786314
Texas - GLO,"2017 Hurricanes Harvey, Irma and Maria",Housing,25,3672847375.48,3429649012.06,3434018383.94,0.9337847891410906,0.9349744307007073,1.0012739997196902
Texas - GLO,2018 Disasters,Housing,15,45279350.0,34420724.13,34175633.19,0.7601859154338567,0.7547730519541468,0.9928795530543069
Texas - GLO,2019 Disasters,Housing,15,141338336.7,106348484.58,105552357.11000001,0.7524390555531422,0.7468062775780495,0.9925139744760434
"Town of Union, NY",2011 Multiple Disasters,Housing,11,53879.65000000008,53879.65,53879.65,0.9999999999999986,0.9999999999999986,1.0
"Tuscaloosa, AL",2011 Multiple Disasters,Housing,14,2158179.0,2158179.0,2158179.0,1.0,1.0,1.0
"Tuscaloosa, AL",2011-2013 Hurricane Sandy and Other Events,Housing,10,3500000.0,3500000.0,3500000.0,1.0,1.0,1.0
Virgin Islands,"2017 Hurricanes Harvey, Irma and Maria",Housing,23,298709480.4,83110368.77,75479961.26,0.2782314396540325,0.25268686202702795,0.9081894639269811
West Virginia,2016 Louisiana Floods and Other Events,Housing,30,114378186.8,109069194.35,109931857.49000001,0.9535838729522507,0.9611260727731699,1.0079093198142801
Wisconsin,2018 Disasters,Housing,12,8307489.870000001,8307489.87,8307489.869999999,0.9999999999999999,0.9999999999999998,0.9999999999999999
