Grantee,Disaster_Type,Program_Type,N_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Ratio_disbursed_to_obligated,Ratio_expended_to_obligated,Ratio_expended_to_disbursed
North Carolina-NCORR,2015-2018 Mitigation,Infrastructure,8,20698595.19,7255095.920000001,6216167.500000001,0.35051151314390244,0.30031832802852165,0.8568001813544597
Northern Mariana Islands,2015-2018 Mitigation,Infrastructure,5,14602500.0,422679.77,421464.38,0.028945712720424586,0.028862481082006505,0.9971245607519849
Northern Mariana Islands,2018 Disasters,Infrastructure,17,91279335.0,11236825.190000001,10483240.14,0.12310371443876099,0.11484790221138225,0.9329361241046413
Oklahoma,2011-2013 Hurricane Sandy and Other Events,Infrastructure,23,75066717.02000001,75066717.02,75066717.02000001,0.9999999999999998,1.0,1.0000000000000002
Oklahoma,2019 Disasters,Infrastructure,7,11694760.0,1734453.54,1700719.94,0.14831031504708092,0.14542580950784795,0.9805508771367839
Pennsylvania,2011 Multiple Disasters,Infrastructure,33,11239999.57,11239999.57,11239999.57,1.0,1.0,1.0
Pennsylvania,2011-2013 Hurricane Sandy and Other Events,Infrastructure,19,13569865.199999997,13569865.199999997,13569865.2,1.0,1.0000000000000002,1.0000000000000002
Puerto Rico,2008 Hurricane Ike and Other Events,Infrastructure,45,13507925.73,12126032.58,11683904.23,0.8976976052710351,0.8649665732208612,0.9635389112569909
Puerto Rico,2015-2018 Mitigation,Infrastructure,14,2930437212.430001,19233593.029999997,17128254.959999997,0.0065633868381199546,0.005844948626555546,0.89053849342054
Puerto Rico,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,25,2026443172.8100004,405930819.3299999,399948812.03,0.20031690243112485,0.19736492855874385,0.9852634808318486
Puerto Rico,Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands,Infrastructure,10,797135612.89,5111846.650000001,4602198.04,0.00641276912904079,0.005773419184365404,0.9003004892566562
Rhode Island,2011-2013 Hurricane Sandy and Other Events,Infrastructure,26,10426662.94,10426662.94,10426662.94,1.0,1.0,1.0
"Richland County, SC",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,10,1930032.54,1181295.75,911740.96,0.6120600173922456,0.47239667783010536,0.7718143064511999
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,28,22722897.17,22722897.17,22722597.17,1.0,0.999986797458187,0.999986797458187
"San Marcos, TX",2015-2018 Mitigation,Infrastructure,12,21012687.0,16118296.1,14954192.5,0.7670744869516212,0.7116744517252839,0.9277775024867548
"Shelby County, TN",2013 National Disaster Resilience,Infrastructure,32,55058679.08,40064815.66,40064815.66,0.7276748430848842,0.7276748430848842,1.0
South Carolina,2015-2018 Mitigation,Infrastructure,14,80407312.33000001,18921475.28,18996417.89,0.23532033010062928,0.23625236734734667,1.0039607170630724
"Springfield, MA",2011-2013 Hurricane Sandy and Other Events,Infrastructure,30,13334003.909999998,13175083.569999998,13334003.909999998,0.9880815739163826,1.0,1.0120621883842822
"Springfield, MA",2013 National Disaster Resilience,Infrastructure,28,10062727.12,10062727.120000001,10062727.120000001,1.0000000000000002,1.0000000000000002,1.0
St. Tammany Parish,2011-2013 Hurricane Sandy and Other Events,Infrastructure,31,10252335.200000001,6884796.28,6425158.779999999,0.6715344500246149,0.6267019810276978,0.933238765345138
Tennessee,2011-2013 Hurricane Sandy and Other Events,Infrastructure,26,12350635.7,12350635.7,12430066.73,1.0,1.0064313313038618,1.0064313313038618
Tennessee,2013 National Disaster Resilience,Infrastructure,29,37015494.94,36874944.76,36701900.980000004,0.9962029366288949,0.9915280354751892,0.9953072802921809
Texas - GLO,2008 Hurricane Ike and Other Events,Infrastructure,62,1246638346.66,1233584539.99,1234111886.0299997,0.9895287942128734,0.989951808667236,1.0004274907984856
Texas - GLO,2011 Multiple Disasters,Infrastructure,44,24662694.170000006,23853730.810000002,23853809.990000002,0.9671989055849366,0.9672021161019813,1.0000033193968956
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,27,45285532.08,44011572.4,43686647.56999999,0.9718682850463264,0.964693259931771,0.9926172864934949
Texas - GLO,2015-2018 Mitigation,Infrastructure,14,1959546866.06,323919542.46000004,289285740.57,0.16530328928100352,0.1476288960374078,0.8930789984853202
Texas - GLO,2016 Louisiana Floods and Other Events,Infrastructure,27,136281269.36,122938743.91,120943323.44,0.9020956767378321,0.8874537492053779,0.9837689860288406
Texas - GLO,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,24,959341868.83,430574194.73,419896925.4,0.448822477908863,0.4376926922955009,0.9752022544298191
Texas - GLO,2018 Disasters,Infrastructure,6,12707897.36,1065277.93,672312.7899999999,0.08382802440261447,0.052905116476326335,0.6311149147715845
Texas - GLO,2019 Disasters,Infrastructure,7,44725805.59,4025056.97,3203073.52,0.08999406308960795,0.07161578148781646,0.7957833998061399
"Town of Union, NY",2011 Multiple Disasters,Infrastructure,38,6494073.99,6280884.859999999,5973009.18,0.9671717429877942,0.9197630315265317,0.9509821168732586
"Tuscaloosa, AL",2011 Multiple Disasters,Infrastructure,39,11926744.97,8028091.71,9879338.77,0.6731167414238757,0.8283348721591721,1.230596152469713
"Tuscaloosa, AL",2011-2013 Hurricane Sandy and Other Events,Infrastructure,38,31875767.02,31582381.46,31813836.909999996,0.990795968617291,0.9980571413399669,1.0073286256229013
Virgin Islands,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,19,248900272.01,155263947.35000002,196364284.22,0.6237998299325364,0.788927559758194,1.2647126881126534
Virginia,2013 National Disaster Resilience,Infrastructure,22,94926142.10999998,94848615.82000001,96383569.28,0.9991832988439566,1.0153532750578989,1.0161831930464116
West Virginia,2015-2018 Mitigation,Infrastructure,12,73105472.25999999,3270912.18,3164667.5900000003,0.04474237124639568,0.04328906567684624,0.9675183605816039
Wisconsin,2018 Disasters,Infrastructure,12,3161653.8,3161653.8000000003,3161653.8,1.0000000000000002,1.0,0.9999999999999999
