model,CFI,RMSEA,n_waves
lgcm_linear,0.8584115881182698,0.2560165460056341,8
lgcm_expended,0.8959421564884048,0.2024319241511347,8
clpm_3wave,1.001212163811819,0.0,3
riclpm_3wave,0.928337800807315,0.23607753004895576,3
clpm_4wave,0.9658892784682089,0.15612351347565467,4
