from,to,wave,estimate,std_error,z_value,p_value
outcome_T1,capacity_T2,T1->T2,0.021474601068869066,0.19733342134093607,0.10882394336871216,0.9133421325375475
capacity_T1,outcome_T2,T1->T2,0.6501355108827174,0.28472690119139044,2.2833652463467784,0.02240886263354147
outcome_T2,capacity_T3,T2->T3,-0.06642852685422067,0.12672979314877872,-0.524174507060944,0.600157170300718
capacity_T2,outcome_T3,T2->T3,-0.03271869948068305,0.13514918571086285,-0.24209320469336085,0.8087079434873752
outcome_T3,capacity_T4,T3->T4,-0.03549898439003237,0.12554372104698883,-0.28276192623335544,0.7773593421535989
capacity_T3,outcome_T4,T3->T4,-0.1651654539880146,0.12107507808108411,-1.3641573196098948,0.1725180577414518
